"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,1.6977127548052e-192,0,0,1.6986596166928e-192,0,0,2.0739195205024e-102,3.46456814416099e-46,0,0
"2",1.6977127548052e-192,1,2.20823461959198e-188,2.131401847894e-207,7.25738240865846e-139,7.43490841092067e-205,7.43407567022337e-205,7.3662419303425e-205,7.36621766189587e-205,7.43386994859449e-205,7.43540320084649e-205
"3",0,2.20823461959198e-188,1,0,7.40424489207212e-205,0,0,0,0,0,0
"4",0,2.131401847894e-207,0,1,1.49786824847314e-46,0,0,0,0,0,0
"5",1.6986596166928e-192,7.25738240865846e-139,7.40424489207212e-205,1.49786824847314e-46,1,7.43763751209195e-205,7.43680446703292e-205,7.36894593382922e-205,7.36892165651166e-205,7.43659867021366e-205,7.43813248286243e-205
"6",0,7.43490841092067e-205,0,0,7.43763751209195e-205,1,0,0,0,0,0
"7",0,7.43407567022337e-205,0,0,7.43680446703292e-205,0,1,0,0,0,0
"8",2.0739195205024e-102,7.3662419303425e-205,0,0,7.36894593382922e-205,0,0,1,4.78962461096129e-17,0,0
"9",3.46456814416099e-46,7.36621766189587e-205,0,0,7.36892165651166e-205,0,0,4.78962461096129e-17,1,0,0
"10",0,7.43386994859449e-205,0,0,7.43659867021366e-205,0,0,0,0,1,0
"11",0,7.43540320084649e-205,0,0,7.43813248286243e-205,0,0,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,0,0
"13",-1.67317241514299e-18,1,1,1,1,-1,-1,-0.537282118055556,-0.356775173611111,-1,-1
"14",-1,1.78815915447788e-18,0.958511904761905,1,1,-1,-1,-1,-1,-1,-1
"15",-1,-0.958511904761905,3.43303582899431e-18,1,0.999996031746032,-1,-1,-1,-1,-1,-1
"16",-1,-1,-1,6.60933086258822e-19,-0.466169690098262,-1,-1,-1,-1,-1,-1
"17",-1,-1,-0.999996031746032,0.466169690098262,4.04123452625252e-18,-1,-1,-1,-1,-1,-1
"18",1,1,1,1,1,3.8995138137062e-19,1,1,1,1,-1
"19",1,1,1,1,1,-1,1.82055614796524e-19,1,1,-0.993333333333333,-1
"20",0.537282118055556,1,1,1,1,-1,-1,9.82558218814988e-19,0.197833333333333,-1,-1
"21",0.356775173611111,1,1,1,1,-1,-1,-0.197833333333333,-2.83473693014439e-18,-1,-1
"22",1,1,1,1,1,-1,0.993333333333333,1,1,2.57407665784267e-19,-1
"23",1,1,1,1,1,1,1,1,1,1,2.78459257966694e-19
