"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,3.04720541413641e-113,4.64635005865728e-140,1.29116773251556e-121,2.16885059243769e-132,1.40631451078919e-233,1.40634770516043e-233,1.83314452282022e-34,0.000193611125530968,1.40631830439197e-233,1.40646910836615e-233
"2",3.04720541413641e-113,1,1.08970342888508e-142,3.94417452831872e-80,9.98632322345302e-107,0,0,3.13803102903308e-105,8.9947348450175e-173,0,0
"3",4.64635005865728e-140,1.08970342888508e-142,1,1.41274819371455e-37,9.89141101476174e-11,0,0,1.14453266479327e-209,1.17186054079318e-241,0,0
"4",1.29116773251556e-121,3.94417452831872e-80,1.41274819371455e-37,1,2.50115641082216e-10,0,0,6.93979950401357e-157,1.98481887224329e-218,0,0
"5",2.16885059243769e-132,9.98632322345302e-107,9.89141101476174e-11,2.50115641082216e-10,1,0,0,8.02527669605506e-183,1.49947099187058e-227,0,0
"6",1.40631451078919e-233,0,0,0,0,1,0,0,0,0,0
"7",1.40634770516043e-233,0,0,0,0,0,1,0,0,1.75030005019403e-65,0
"8",1.83314452282022e-34,3.13803102903308e-105,1.14453266479327e-209,6.93979950401357e-157,8.02527669605506e-183,0,0,1,1.32350428223708e-41,0,0
"9",0.000193611125530968,8.9947348450175e-173,1.17186054079318e-241,1.98481887224329e-218,1.49947099187058e-227,0,0,1.32350428223708e-41,1,0,0
"10",1.40631830439197e-233,0,0,0,0,0,1.75030005019403e-65,0,0,1,0
"11",1.40646910836615e-233,0,0,0,0,0,0,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,0,0
"13",8.49504290441583e-19,0.680956625074272,0.772049606167253,0.697852668845316,0.747442810457516,-1,-1,0.375173453996983,0.114218200100553,-1,-1
"14",-0.680956625074272,1.35484203296579e-18,0.589717042217042,0.417109638047138,0.50542297979798,-1,-1,-0.505158637658638,-0.64972804972805,-1,-1
"15",-0.772049606167253,-0.589717042217042,-3.22573313027525e-19,-0.291186490978158,-0.153473646723647,-1,-1,-0.737789465994594,-0.792609394404266,-1,-1
"16",-0.697852668845316,-0.417109638047138,0.291186490978158,-5.85770340412307e-20,0.142805555555556,-1,-1,-0.606518281101614,-0.717007953466287,-1,-1
"17",-0.747442810457516,-0.50542297979798,0.153473646723647,-0.142805555555556,-4.32777367183797e-20,-1,-1,-0.684113247863248,-0.764092592592593,-1,-1
"18",1,1,1,1,1,7.36701476176048e-20,0.919791073124406,1,1,0.919984659215428,-1
"19",1,1,1,1,1,-0.919791073124406,-4.17464169833094e-19,1,1,0.408043684710351,-1
"20",-0.375173453996983,0.505158637658638,0.737789465994594,0.606518281101614,0.684113247863248,-1,-1,2.67807203289155e-20,-0.322614507999123,-1,-1
"21",-0.114218200100553,0.64972804972805,0.792609394404266,0.717007953466287,0.764092592592593,-1,-1,0.322614507999123,3.32952000490634e-19,-1,-1
"22",1,1,1,1,1,-0.919984659215428,-0.408043684710351,1,1,2.85599238940199e-19,-1
"23",1,1,1,1,1,1,1,1,1,1,4.03564141980716e-19
