"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,1.69604253904778e-08,2.03606838914395e-78,0,0,0,0,1.82932933077987e-88,1.52217957533598e-178,0,0
"2",1.69604253904778e-08,1,2.93395370003214e-138,0,0,0,0,1.50013799847552e-149,1.11287598808561e-176,0,0
"3",2.03606838914395e-78,2.93395370003214e-138,1,0,0,0,0,0.00249161625874421,0,0,0
"4",0,0,0,1,0,0,0,0,0,0,0
"5",0,0,0,0,1,0,0,0,0,0,0
"6",0,0,0,0,0,1,0,0,0,0,0
"7",0,0,0,0,0,0,1,0,0,1.13179551083568e-22,0
"8",1.82932933077987e-88,1.50013799847552e-149,0.00249161625874421,0,0,0,0,1,0,0,0
"9",1.52217957533598e-178,1.11287598808561e-176,0,0,0,0,0,0,1,0,0
"10",0,0,0,0,0,0,1.13179551083568e-22,0,0,1,0
"11",0,0,0,0,0,0,0,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,0,0
"13",-2.21391406579139e-19,0.146696061140506,-0.494864408568112,-0.999991053855788,-1,-1,-1,-0.526348000422075,0.752058668354965,-1,-1
"14",-0.146696061140506,6.17048712610599e-19,-0.586817256817257,-0.999902231423971,-1,-1,-1,-0.610649843983177,0.664436304436304,-1,-1
"15",0.494864408568112,0.586817256817257,4.98269665081586e-19,-0.995193856063421,-1,-1,-1,-0.0722090729783037,0.914367010008036,-1,-1
"16",0.999991053855788,0.999902231423971,0.995193856063421,2.21947183860257e-19,-1,-1,-1,0.98104607952434,1,-1,-1
"17",1,1,1,1,-5.88836770799135e-19,-1,-1,0.998738668738669,1,-1,-1
"18",1,1,1,1,1,4.98269665081586e-19,0.999833442910366,1,1,1,-1
"19",1,1,1,1,1,-0.999833442910366,4.98269665081586e-19,1,1,0.233968880122726,-1
"20",0.526348000422075,0.610649843983177,0.0722090729783037,-0.98104607952434,-0.998738668738669,-1,-1,4.98269665081586e-19,0.919407553510118,-1,-1
"21",-0.752058668354965,-0.664436304436304,-0.914367010008036,-1,-1,-1,-1,-0.919407553510118,4.98269665081586e-19,-1,-1
"22",1,1,1,1,1,-1,-0.233968880122726,1,1,4.74546950880194e-19,-1
"23",1,1,1,1,1,1,1,1,1,1,4.98269665081586e-19
