"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,7.08757443731187e-61,2.08712440880209e-42,9.57825549364279e-47,2.6974788329024e-138,2.01634975790346e-82,2.01634975790346e-82,1.05671221267324e-24,0.268337845175997,2.01633284687178e-82,2.01636666907562e-82
"2",7.08757443731187e-61,1,4.66477581823307e-18,4.2623850149118e-56,1.73219210402301e-276,1.25133913925825e-116,1.25133913925825e-116,1.19026177222657e-111,2.02394910672408e-44,1.25133821587558e-116,1.25134006264161e-116
"3",2.08712440880209e-42,4.66477581823307e-18,1,7.2782498904523e-43,6.23801803556882e-107,2.60688365677491e-70,2.60688365677491e-70,9.50633860103388e-69,2.72841225083718e-35,2.60685038131146e-70,2.60691693265782e-70
"4",9.57825549364279e-47,4.2623850149118e-56,7.2782498904523e-43,1,8.21588943053655e-54,7.27809677065786e-43,7.27809677065786e-43,1.2599090097194e-25,7.57549457424497e-43,7.27794365401654e-43,7.2782498904523e-43
"5",2.6974788329024e-138,1.73219210402301e-276,6.23801803556882e-107,8.21588943053655e-54,1,6.23800562490829e-107,4.91498157424997e-106,6.23799321427241e-107,6.23799321427241e-107,6.23799321427241e-107,6.23801803556882e-107
"6",2.01634975790346e-82,1.25133913925825e-116,2.60688365677491e-70,7.27809677065786e-43,6.23800562490829e-107,1,2.60685038131146e-70,2.60681710626762e-70,2.60681710626762e-70,2.60681710626762e-70,4.47982383328425e-59
"7",2.01634975790346e-82,1.25133913925825e-116,2.60688365677491e-70,7.27809677065786e-43,4.91498157424997e-106,2.60685038131146e-70,1,2.60681710626762e-70,2.60681710626762e-70,6.59322966924295e-70,2.60688365677491e-70
"8",1.05671221267324e-24,1.19026177222657e-111,9.50633860103388e-69,1.2599090097194e-25,6.23799321427241e-107,2.60681710626762e-70,2.60681710626762e-70,1,2.55261847929704e-22,2.60678383164273e-70,2.60685038131146e-70
"9",0.268337845175997,2.02394910672408e-44,2.72841225083718e-35,7.57549457424497e-43,6.23799321427241e-107,2.60681710626762e-70,2.60681710626762e-70,2.55261847929704e-22,1,2.60678383164273e-70,2.60685038131146e-70
"10",2.01633284687178e-82,1.25133821587558e-116,2.60685038131146e-70,7.27794365401654e-43,6.23799321427241e-107,2.60681710626762e-70,6.59322966924295e-70,2.60678383164273e-70,2.60678383164273e-70,1,2.79999416406295e-70
"11",2.01636666907562e-82,1.25134006264161e-116,2.60691693265782e-70,7.2782498904523e-43,6.23801803556882e-107,4.47982383328425e-59,2.60688365677491e-70,2.60685038131146e-70,2.60685038131146e-70,2.79999416406295e-70,1
"12",0,0,0,0,0,0,0,0,0,0,0
"13",2.31296463463574e-20,0.620441358024691,0.709650793650794,-0.997555555555556,-1,-1,-1,-0.533555555555556,0.0575714285714286,-1,-1
"14",-0.620441358024691,4.88392923068702e-19,0.377283950617284,-1,-1,-1,-1,-0.97805114638448,-0.60902557319224,-1,-1
"15",-0.709650793650794,-0.377283950617284,0,-1,-1,-1,-1,-0.988526077097506,-0.699319727891156,-1,-1
"16",0.997555555555556,1,1,0,-1,-1,-1,0.762486772486772,0.99978835978836,-1,-1
"17",1,1,1,1,3.88112951599883e-20,-1,-0.995721187025535,1,1,-1,-1
"18",1,1,1,1,1,2.29747603217166e-19,1,1,1,1,0.914285714285714
"19",1,1,1,1,0.995721187025535,-1,0,1,1,-0.997052154195011,-1
"20",0.533555555555556,0.97805114638448,0.988526077097506,-0.762486772486772,-1,-1,-1,9.17441552622258e-19,0.548163265306122,-1,-1
"21",-0.0575714285714286,0.60902557319224,0.699319727891156,-0.99978835978836,-1,-1,-1,-0.548163265306122,9.17441552622258e-19,-1,-1
"22",1,1,1,1,1,-1,0.997052154195011,1,1,0,-0.999773242630385
"23",1,1,1,1,1,-0.914285714285714,1,1,1,0.999773242630385,0
