"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0
"4",0,0,0,1,0,0,0,0,0,0,0
"5",0,0,0,0,1,0,0,0,0,0,0
"6",0,0,0,0,0,1,0,0,0,0,0
"7",0,0,0,0,0,0,1,0,0,0,0
"8",0,0,0,0,0,0,0,1,0,0,0
"9",0,0,0,0,0,0,0,0,1,0,0
"10",0,0,0,0,0,0,0,0,0,1,0
"11",0,0,0,0,0,0,0,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,0,0
"13",-8.20297654429346e-18,0.943508019603475,1,1,1,-0.999404409293921,-1,1,0.999702115633255,-0.999403608170568,-1
"14",-0.943508019603475,8.73279539995537e-18,1,1,1,-0.99968026276846,-0.999329460739876,1,0.999701982112696,-0.999336914651433,-0.999485708303728
"15",-1,-1,-9.77675263508309e-18,-0.82277173089775,-1,-0.999701804085284,-1,-1,-0.999999955493147,-1,-1
"16",-1,-1,0.82277173089775,6.8848617986247e-18,-1,-0.999701804085284,-1,-1,-0.999999287890353,-1,-1
"17",-1,-1,1,1,-8.61670485688954e-18,-0.999701804085284,-1,-0.963021647470749,0.669048554751218,-1,-1
"18",0.999404409293921,0.99968026276846,0.999701804085284,0.999701804085284,0.999701804085284,6.83050601712453e-18,0.999403608170568,0.999701804085284,0.999701759624882,0.999104567508218,0.991795318074938
"19",1,0.999329460739876,1,1,1,-0.999403608170568,-8.49941047358421e-18,1,1,-0.999160392266691,-0.997011852175741
"20",-1,-1,1,1,0.963021647470749,-0.999701804085284,-1,8.71534484448395e-18,0.99414332721448,-0.999999866499367,-1
"21",-0.999702115633255,-0.999701982112696,0.999999955493147,0.999999287890353,-0.669048554751218,-0.999701759624882,-1,-0.99414332721448,9.61742450438927e-18,-0.999999911079197,-1
"22",0.999403608170568,0.999336914651433,1,1,1,-0.999104567508218,0.999160392266691,0.999999866499367,0.999999911079197,6.84705921564288e-18,0.733888069998476
"23",1,0.999485708303728,1,1,1,-0.991795318074938,0.997011852175741,1,1,-0.733888069998476,-8.51816275410817e-18
