"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0
"4",0,0,0,1,0,0,0,0,0,0,0
"5",0,0,0,0,1,0,0,1.41351831664321e-219,2.86050383958137e-15,0,0
"6",0,0,0,0,0,1,0,0,0,0,4.62713359739525e-206
"7",0,0,0,0,0,0,1,0,0,0,0
"8",0,0,0,0,1.41351831664321e-219,0,0,1,1.0249508622794e-280,0,0
"9",0,0,0,0,2.86050383958137e-15,0,0,1.0249508622794e-280,1,0,0
"10",0,0,0,0,0,0,0,0,0,1,0
"11",0,0,0,0,0,4.62713359739525e-206,0,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,0,0
"13",-7.59739299353339e-18,0.999701225217198,1,1,0.999701492537313,-0.999999955453296,-0.688001256217049,1,1,-0.997762953624654,-1
"14",-0.999701225217198,-8.767425140987e-18,0.999994475384273,0.999971463577634,0.998873223435063,-0.999803214935619,-0.999701492537313,0.999396637169324,0.999481530296014,-0.999701492537313,-0.99974510376041
"15",-1,-0.999994475384273,-9.06459362897989e-18,-0.657725150367565,-0.980581332145244,-1,-1,-0.990768163361673,-0.97581457272112,-1,-1
"16",-1,-0.999971463577634,0.657725150367565,9.69388398843685e-18,-0.916148095344175,-1,-1,-0.956958529246025,-0.897207214227193,-1,-1
"17",-0.999701492537313,-0.998873223435063,0.980581332145244,0.916148095344175,9.11378727979117e-18,-0.999960308886845,-0.999701492537313,-0.31551559468736,0.0787629795533075,-0.999701492537313,-0.999934271338428
"18",0.999999955453296,0.999803214935619,1,1,0.999960308886845,-9.82485207886719e-18,1,1,1,0.999958666827931,0.305543070111772
"19",0.688001256217049,0.999701492537313,1,1,0.999701492537313,-1,9.19526731635777e-18,1,1,-0.98805453511194,-1
"20",-1,-0.999396637169324,0.990768163361673,0.956958529246025,0.31551559468736,-1,-1,-9.26196006900641e-18,0.357075863895212,-1,-1
"21",-1,-0.999481530296014,0.97581457272112,0.897207214227193,-0.0787629795533074,-1,-1,-0.357075863895212,8.1001902255013e-18,-1,-1
"22",0.997762953624654,0.999701492537313,1,1,0.999701492537313,-0.999958666827931,0.98805453511194,1,1,-8.55076486390609e-18,-0.999970915343361
"23",1,0.99974510376041,1,1,0.999934271338428,-0.305543070111772,1,1,1,0.999970915343361,7.98741982224663e-18
