"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,1.6615762318335e-124,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0
"4",0,1.6615762318335e-124,0,1,0,0,0,0,0,0,0
"5",0,0,0,0,1,0,0,0,0,0,0
"6",0,0,0,0,0,1,0,0,0,0,0
"7",0,0,0,0,0,0,1,0,0,0,0
"8",0,0,0,0,0,0,0,1,0,0,0
"9",0,0,0,0,0,0,0,0,1,0,0
"10",0,0,0,0,0,0,0,0,0,1,0
"11",0,0,0,0,0,0,0,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,0,0
"13",-5.71439180029374e-18,1,1,1,1,-1,-0.996011708893447,1,1,-1,-1
"14",-1,-5.69287455717826e-18,0.625857470414201,-0.268731841715976,-1,-1,-1,-0.999966394976933,-0.999609425578247,-1,-1
"15",-1,-0.625857470414201,-5.67152411439701e-18,-0.766125221893491,-1,-1,-1,-0.999995283505534,-0.999864376728856,-1,-1
"16",-1,0.268731841715976,0.766125221893491,-5.23079593128165e-18,-0.999641124260355,-1,-1,-0.999934558639291,-0.99909411600259,-1,-1
"17",-1,1,1,0.999641124260355,-5.61299804712457e-18,-1,-1,-0.976256761536988,0.686015316932494,-1,-1
"18",1,1,1,1,1,-2.66931658234743e-18,1,1,1,1,1
"19",0.996011708893447,1,1,1,1,-1,-7.4568484579755e-18,1,1,-0.999999926248319,-1
"20",-1,0.999966394976933,0.999995283505534,0.999934558639291,0.976256761536988,-1,-1,6.4358897421446e-18,0.995437371806534,-1,-1
"21",-1,0.999609425578247,0.999864376728856,0.99909411600259,-0.686015316932494,-1,-1,-0.995437371806534,7.54142661085814e-18,-1,-1
"22",1,1,1,1,1,-1,0.999999926248319,1,1,-8.08945708595048e-18,-0.981909451547194
"23",1,1,1,1,1,-1,1,1,1,0.981909451547194,-2.62677352246627e-18
