"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0
"4",0,0,0,1,0,0,0,0,0,0,0
"5",0,0,0,0,1,0,0,0,0,0,0
"6",0,0,0,0,0,1,0,0,0,0,0
"7",0,0,0,0,0,0,1,0,0,0,0
"8",0,0,0,0,0,0,0,1,0,0,0
"9",0,0,0,0,0,0,0,0,1,0,0
"10",0,0,0,0,0,0,0,0,0,1,0
"11",0,0,0,0,0,0,0,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,0,0
"13",-5.18809504571915e-18,1,1,1,1,-1,-0.989323530720292,1,1,-1,-1
"14",-1,-5.42153211347199e-18,0.967904068047337,0.877984393491124,-0.999447041420118,-1,-1,-0.999999630248621,-0.996382352506175,-1,-1
"15",-1,-0.967904068047337,-5.54950966990883e-18,-0.488885355029586,-1,-1,-1,-1,-0.999999926049724,-1,-1
"16",-1,-0.877984393491124,0.488885355029586,-5.14539416015664e-18,-0.999992825443787,-1,-1,-1,-0.999903716740863,-1,-1
"17",-1,0.999447041420118,1,0.999992825443787,-5.14539416015664e-18,-1,-0.999999184351411,-0.985312070164022,0.620566200286927,-1,-1
"18",1,1,1,1,1,6.37240295914096e-18,0.789614912556857,1,1,1,1
"19",0.989323530720292,1,1,1,0.999999184351411,-0.789614912556857,2.65122651544031e-18,0.999749347486119,1,-0.701684995029392,-0.628282729659995
"20",-1,0.999999630248621,1,1,0.985312070164022,-1,-0.999749347486119,6.41497055837602e-18,0.999127850267358,-1,-1
"21",-1,0.996382352506175,0.999999926049724,0.999903716740863,-0.620566200286927,-1,-1,-0.999127850267358,6.71373590227262e-18,-1,-1
"22",1,1,1,1,1,-1,0.701684995029392,1,1,6.43627520402647e-18,0.969117093680053
"23",1,1,1,1,1,-1,0.628282729659995,1,1,-0.969117093680053,6.47896787945909e-18
