"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0,0,0,0,0,0,0,1.19470767514272e-40,0,0
"2",0,1,1.51769755974121e-08,4.20726869385125e-41,0,0,0,0,0,0,0
"3",0,1.51769755974121e-08,1,6.52512806483289e-79,0,0,0,0,0,0,0
"4",0,4.20726869385125e-41,6.52512806483289e-79,1,0,0,0,0,0,0,0
"5",0,0,0,0,1,0,0,0,0,0,0
"6",0,0,0,0,0,1,0,0,0,0,0
"7",0,0,0,0,0,0,1,0,0,0,0
"8",0,0,0,0,0,0,0,1,0,0,0
"9",1.19470767514272e-40,0,0,0,0,0,0,0,1,0,0
"10",0,0,0,0,0,0,0,0,0,1,0
"11",0,0,0,0,0,0,0,0,0,0,1
"12",0,0,0,0,0,0,0,0,0,0,0
"13",-5.20942463845862e-18,0.999997559171598,1,1,0.951412352071006,-1,-0.999772189349112,0.999928564033544,-0.151151775546123,-1,-1
"14",-0.999997559171598,-4.9961078610221e-18,-0.0640849112426035,0.152036908284024,-0.998737352071006,-1,-1,-0.990320204694364,-1,-1,-1
"15",-1,0.0640849112426035,-5.29347115686803e-18,0.212966087278107,-1,-1,-1,-0.993318962329729,-1,-1,-1
"16",-1,-0.152036908284024,-0.212966087278107,-5.25212552402113e-18,-1,-1,-1,-0.998438207149513,-1,-1,-1
"17",-0.951412352071006,0.998737352071006,1,1,-5.14539416015664e-18,-1,-1,0.920017008563442,-0.966688617573544,-1,-1
"18",1,1,1,1,1,6.39362422065971e-18,1,1,1,0.989057315638315,0.999899501575141
"19",0.999772189349112,1,1,1,1,-1,-5.06003408911518e-18,1,0.999713664531969,-0.9541482037478,-0.815200443786982
"20",-0.999928564033544,0.990320204694364,0.993318962329729,0.998438207149513,-0.920017008563442,-1,-1,6.35088985316124e-18,-0.999995194156271,-1,-1
"21",0.151151775546123,1,1,1,0.966688617573544,-1,-0.999713664531969,0.999995194156271,6.32958520751079e-18,-1,-1
"22",1,1,1,1,1,-0.989057315638315,0.9541482037478,1,1,6.43625435799355e-18,0.555152004791978
"23",1,1,1,1,1,-0.999899501575141,0.815200443786982,1,1,-0.555152004791978,-5.08138453189644e-18
