"","V1","V2","V3","V4","V5"
"1",1,1.6977127548052e-192,0,0,1.6986596166928e-192
"2",1.6977127548052e-192,1,2.20823461959198e-188,2.131401847894e-207,7.25738240865846e-139
"3",0,2.20823461959198e-188,1,0,7.40424489207212e-205
"4",0,2.131401847894e-207,0,1,1.49786824847314e-46
"5",1.6986596166928e-192,7.25738240865846e-139,7.40424489207212e-205,1.49786824847314e-46,1
"6",0,0,0,0,0
"7",-1.67317241514299e-18,1,1,1,1
"8",-1,1.78815915447788e-18,0.958511904761905,1,1
"9",-1,-0.958511904761905,3.43303582899431e-18,1,0.999996031746032
"10",-1,-1,-1,6.60933086258822e-19,-0.466169690098262
"11",-1,-1,-0.999996031746032,0.466169690098262,4.04123452625252e-18
