"","V1","V2","V3","V4","V5"
"1",1,1.60185294959663e-175,1.43135353192424e-197,1.43136471745699e-197,1.43136024323332e-197
"2",1.60185294959663e-175,1,1.4313177388047e-197,1.43132892405881e-197,1.43132444994675e-197
"3",1.43135353192424e-197,1.4313177388047e-197,1,8.24443569903971e-137,1.4313512948282e-197
"4",1.43136471745699e-197,1.43132892405881e-197,8.24443569903971e-137,1,1.43136248034349e-197
"5",1.43136024323332e-197,1.43132444994675e-197,1.4313512948282e-197,1.43136248034349e-197,1
"6",0,0,0,0,0
"7",3.22008045228195e-19,0.941922222222222,1,1,1
"8",-0.941922222222222,3.09774630715317e-18,1,1,1
"9",-1,-1,-8.83444070213605e-19,-0.830211111111111,-1
"10",-1,-1,0.830211111111111,1.68394667423207e-18,-1
"11",-1,-1,1,1,1.98300577347599e-18
