"","V1","V2","V3","V4","V5"
"1",1,1.43040084402996e-197,1.43043884999538e-197,1.43041425778513e-197,1.43055958149533e-197
"2",1.43040084402996e-197,1,8.81924474574452e-101,1.88435694476394e-66,7.93870709662257e-197
"3",1.43043884999538e-197,8.81924474574452e-101,1,7.66989561976796e-171,1.43037401689505e-197
"4",1.43041425778513e-197,1.88435694476394e-66,7.66989561976796e-171,1,2.76726321795306e-197
"5",1.43055958149533e-197,7.93870709662257e-197,1.43037401689505e-197,2.76726321795306e-197,1
"6",0,0,0,0,0
"7",-9.08922821267015e-20,1,1,1,1
"8",-1,6.64435231371533e-19,0.710691666666667,-0.574236111111111,-0.998094444444444
"9",-1,-0.710691666666667,-1.68250107133542e-18,-0.929127777777778,-1
"10",-1,0.574236111111111,0.929127777777778,0,-0.999266666666667
"11",-1,0.998094444444445,1,0.999266666666667,3.25640122506021e-18
