"","V1","V2","V3","V4","V5"
"1",1,1.43155488482689e-197,1.4315571222397e-197,1.43155264741741e-197,1.43155488482689e-197
"2",1.43155488482689e-197,1,8.34447217441216e-75,4.20067574679154e-18,1.43155041001158e-197
"3",1.4315571222397e-197,8.34447217441216e-75,1,6.41321718113002e-119,1.43155264741741e-197
"4",1.43155264741741e-197,4.20067574679154e-18,6.41321718113002e-119,1,2.39296360171339e-196
"5",1.43155488482689e-197,1.43155041001158e-197,1.43155264741741e-197,2.39296360171339e-196,1
"6",0,0,0,0,0
"7",-2.03287907341032e-19,1,1,1,1
"8",-1,1.62630325872826e-21,0.610241666666667,-0.289230555555556,-1
"9",-1,-0.610241666666667,2.31296463463574e-19,-0.773166666666667,-1
"10",-1,0.289230555555556,0.773166666666667,2.31296463463574e-19,-0.996866666666667
"11",-1,1,1,0.996866666666667,1.38958578440225e-19
