time,CPU_percent,memory_rss,memory_vms,memory_share,memory_data
0,0.0,86659072,544358400,51752960,164261888
10,4.6,51109888,548564992,15147008,168468480
20,4.6,50790400,549613568,14331904,169517056
30,4.3,53202944,549613568,16523264,169517056
40,4.0,50434048,549613568,13672448,169517056
50,4.1,65028096,549613568,28147712,169517056
60,4.1,63533056,549613568,26660864,169517056
70,4.2,64507904,549613568,27320320,169517056
80,4.2,61276160,549613568,24031232,169517056
90,4.1,64946176,550662144,27238400,170565632
100,4.1,65200128,550662144,27324416,170565632
110,4.2,62337024,550662144,24641536,170565632
120,4.2,62214144,550662144,24354816,170565632
130,4.1,66011136,550662144,27983872,170565632
140,4.1,64086016,550662144,26021888,170565632
150,4.2,66064384,550662144,27721728,170565632
160,4.0,62586880,550662144,24141824,170565632
170,4.1,62017536,550662144,23642112,170565632
180,4.2,65064960,550662144,26451968,170565632
190,4.3,68792320,551710720,30011392,171614208
200,4.3,66899968,551710720,28065792,171614208
210,4.3,66719744,551710720,27754496,171614208
220,4.4,67452928,551710720,28467200,171614208
230,4.1,67903488,551710720,28762112,171614208
240,4.4,65515520,551710720,26353664,171614208
250,4.3,68345856,551710720,29003776,171614208
260,4.3,69095424,551710720,29646848,171614208
270,4.3,71372800,551710720,31707136,171614208
280,4.3,71680000,551710720,31920128,171614208
290,4.3,67067904,551710720,27189248,171614208
300,4.4,65839104,551710720,26177536,171614208
310,4.1,68988928,551710720,29179904,171614208
320,4.4,66383872,551710720,26624000,171614208
330,4.2,68800512,552759296,28827648,172662784
340,4.4,66383872,552759296,26476544,172662784
350,4.3,70803456,552759296,30507008,172662784
360,4.5,68644864,552759296,28397568,172662784
370,4.3,68849664,552759296,28536832,172662784
380,4.5,67194880,552759296,27049984,172662784
390,4.4,66826240,552759296,26591232,172662784
400,4.6,64651264,552759296,24498176,172662784
410,4.4,66449408,552759296,26271744,172662784
420,4.4,66990080,552759296,26464256,172662784
430,4.3,61628416,552759296,21250048,172662784
440,4.3,66105344,552759296,25665536,172662784
450,4.4,64421888,552759296,23838720,172662784
460,4.6,64651264,552759296,24023040,172662784
470,4.4,64962560,552759296,24260608,172662784
480,4.5,65753088,552759296,25034752,172662784
490,4.4,68038656,552759296,27394048,172662784
500,4.6,67031040,552759296,26316800,172662784
510,4.5,67239936,552759296,26472448,172662784
520,4.8,64606208,552759296,23908352,172662784
530,4.4,64745472,552759296,23957504,172662784
540,4.7,67678208,552759296,26841088,172662784
550,4.4,69083136,552759296,28368896,172662784
560,4.7,71180288,552759296,30347264,172662784
570,4.5,69005312,552759296,28254208,172662784
580,4.6,70696960,552759296,29777920,172662784
590,4.6,66531328,553807872,25571328,173711360
600,4.6,71213056,553807872,30011392,173711360
610,4.6,69763072,553807872,28426240,173711360
620,4.6,67878912,553807872,26427392,173711360
630,4.5,71241728,553807872,29712384,173711360
640,4.7,71954432,553807872,30461952,173711360
650,4.5,64802816,553807872,23379968,173711360
660,4.7,67293184,553807872,25747456,173711360
670,4.7,65265664,553807872,23875584,173711360
680,4.7,68341760,553807872,26902528,173711360
690,4.6,66142208,553807872,24551424,173711360
700,4.7,67006464,553807872,25489408,173711360
710,4.6,68587520,553807872,27082752,173711360
720,4.8,67207168,553807872,25620480,173711360
730,4.6,66580480,553807872,24973312,173711360
740,4.8,66650112,553807872,25018368,173711360
750,4.6,67043328,553807872,25444352,173711360
760,4.9,65593344,553807872,23887872,173711360
770,4.7,70524928,553807872,28614656,173711360
780,4.9,69562368,553807872,27611136,173711360
790,4.6,71573504,553807872,29503488,173711360
800,4.8,68521984,553807872,26591232,173711360
810,4.6,68702208,553807872,26767360,173711360
820,4.9,74190848,553807872,32059392,173711360
830,4.7,71983104,553807872,29917184,173711360
840,5.1,70172672,553807872,28282880,173711360
850,4.7,71286784,553807872,29216768,173711360
860,4.9,71172096,553807872,29081600,173711360
870,5.1,66961408,554856448,24895488,174759936
880,4.9,73043968,554856448,30810112,174759936
890,4.8,73322496,554856448,31055872,174759936
900,5.1,71254016,554856448,29220864,174759936
910,4.8,74887168,554856448,32587776,174759936
920,5.0,72884224,554856448,30531584,174759936
930,4.9,73064448,554856448,30744576,174759936
940,4.9,75546624,554856448,33112064,174759936
950,5.0,68829184,554856448,26501120,174759936
960,4.8,68726784,554856448,26394624,174759936
970,5.0,71204864,554856448,28778496,174759936
980,4.8,66355200,554856448,23982080,174759936
990,4.9,69173248,554856448,26763264,174759936
1000,5.0,68157440,554856448,25792512,174759936
1010,4.9,69804032,554856448,27316224,174759936
1020,5.0,73879552,554856448,31399936,174759936
1030,5.2,68403200,554856448,25894912,174759936
1040,5.0,66777088,554856448,24248320,174759936
