time,CPU_percent,memory_rss,memory_vms,memory_share,memory_data
0,0.0,72335360,164413440,18579456,42835968
10,76.8,171597824,415481856,28336128,282275840
20,88.9,195710976,439242752,28336128,306036736
30,60.8,200540160,443920384,28340224,310714368
40,47.3,224350208,467193856,28405760,333987840
50,46.4,224534528,467193856,28364800,333987840
60,28.7,224788480,468242432,28364800,335036416
70,34.8,225107968,468242432,28426240,335036416
80,27.3,225107968,468242432,28426240,335036416
90,34.0,225366016,468242432,28426240,335036416
100,26.5,225366016,468242432,28426240,335036416
110,40.7,225685504,469291008,28426240,336084992
120,31.0,225951744,469291008,28426240,336084992
130,34.2,225951744,469291008,28426240,336084992
140,38.2,226222080,469291008,28426240,336084992
150,36.9,226492416,469291008,28426240,336084992
160,34.4,226492416,469291008,28426240,336084992
170,30.7,226492416,469291008,28426240,336084992
180,33.9,226746368,469291008,28426240,336084992
190,32.6,226746368,470339584,28426240,337133568
200,28.3,226488320,470339584,28426240,337133568
210,28.7,227106816,470339584,28352512,337133568
220,25.2,227106816,470339584,28352512,337133568
230,27.8,227106816,470339584,28352512,337133568
240,31.4,227106816,470339584,28352512,337133568
250,15.7,227115008,470339584,28352512,337133568
260,14.8,228290560,470339584,28352512,337133568
270,16.0,228347904,470339584,28352512,337133568
280,34.9,228405248,470339584,28352512,337133568
290,27.5,228446208,470339584,28352512,337133568
300,27.2,228474880,470339584,28352512,337133568
310,15.0,228528128,470339584,28352512,337133568
320,29.8,228540416,470339584,28352512,337133568
330,26.6,228560896,470339584,28352512,337133568
340,17.0,229744640,471748608,28311552,338542592
350,27.7,228909056,471748608,28311552,338542592
360,38.2,228655104,471748608,28311552,338542592
370,33.3,228265984,471748608,28311552,338542592
380,24.4,228265984,471748608,28311552,338542592
390,25.5,228265984,471748608,28311552,338542592
400,30.4,228802560,471748608,28311552,338542592
410,14.7,228802560,471748608,28311552,338542592
420,22.0,228802560,471748608,28311552,338542592
430,25.3,228802560,471748608,28311552,338542592
440,33.1,228728832,471748608,28311552,338542592
450,22.3,228728832,471748608,28311552,338542592
460,35.9,228728832,471748608,28311552,338542592
470,37.2,228728832,471748608,28311552,338542592
480,40.3,228986880,471748608,28311552,338542592
490,39.8,228986880,471748608,28311552,338542592
500,34.4,231362560,473071616,28311552,339865600
510,35.5,230924288,473071616,28311552,339865600
520,42.6,231190528,473071616,28311552,339865600
530,43.5,231190528,473071616,28311552,339865600
540,42.5,231190528,473071616,28311552,339865600
550,39.4,231460864,473071616,28311552,339865600
560,33.2,231460864,473071616,28311552,339865600
570,42.2,231555072,473071616,28311552,339865600
580,39.3,232095744,473071616,28311552,339865600
590,37.0,232095744,473071616,28311552,339865600
600,37.8,232095744,473071616,28311552,339865600
610,41.1,232095744,474120192,28311552,340914176
620,37.4,232095744,474120192,28311552,340914176
630,37.6,232095744,474120192,28311552,340914176
640,39.9,233988096,476053504,28311552,342847488
650,40.6,233988096,476053504,28311552,342847488
660,36.9,233988096,476250112,28311552,343044096
670,37.1,234754048,476983296,28311552,343777280
680,37.6,234754048,476983296,28311552,343777280
690,40.1,234754048,476983296,28311552,343777280
700,39.0,235024384,476983296,28311552,343777280
710,44.2,235024384,476983296,28311552,343777280
720,36.6,235024384,476983296,28311552,343777280
730,31.9,235024384,476983296,28311552,343777280
740,30.2,235024384,476983296,28311552,343777280
750,33.8,235024384,476983296,28311552,343777280
760,42.1,241184768,483667968,28311552,350461952
770,38.4,241451008,483667968,28311552,350461952
780,38.3,241451008,483667968,28311552,350461952
790,40.9,241721344,483667968,28311552,350461952
800,30.8,241721344,483667968,28311552,350461952
810,40.7,241074176,483667968,28311552,350461952
820,41.2,241074176,483667968,28311552,350461952
830,38.6,241344512,483667968,28311552,350461952
840,40.3,241344512,483667968,28311552,350461952
850,37.1,241344512,483667968,28311552,350461952
860,34.8,240877568,483667968,28311552,350461952
870,44.0,240877568,483667968,28311552,350461952
880,43.1,240877568,483667968,28311552,350461952
890,45.0,240877568,483667968,28311552,350461952
900,40.1,240877568,483667968,28311552,350461952
910,37.8,240877568,483667968,28311552,350461952
920,37.1,240877568,483667968,28311552,350461952
930,33.4,241389568,483667968,28311552,350461952
940,33.6,242139136,483667968,28311552,350461952
950,29.9,242139136,483667968,28311552,350461952
960,36.1,242139136,483667968,28311552,350461952
