timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1507484261460,45,1 /admin/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Add Blog 1-1,text,false,,2109,1,3,0,0
1507484261455,45,11 /accounts/login,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,View Blog 3-1,text,false,,2109,1,3,0,0
1507484261457,44,6 /admin/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Edit Blog 2-1,text,false,,2109,1,3,0,0
1507484261967,3374,7 /accounts/login,400,BAD REQUEST,Edit Blog 2-1,text,false,,253,1,5,3374,0
1507484261963,3378,2 /accounts/login,400,BAD REQUEST,Add Blog 1-1,text,false,,253,1,5,3378,0
1507484261966,3376,12 /accounts/login,400,BAD REQUEST,View Blog 3-1,text,false,,253,3,5,3376,0
1507484262779,4289,11 /accounts/login,200,OK,View Blog 3-2,text,true,,6560,4,7,4289,0
1507484264205,2890,11 /accounts/login,200,OK,View Blog 3-3,text,true,,6562,5,8,2890,0
1507484265642,1697,11 /accounts/login,200,OK,View Blog 3-4,text,true,,6559,5,8,1696,0
1507484267079,312,11 /accounts/login,200,OK,View Blog 3-5,text,true,,6560,5,8,312,0
1507484265343,2627,13 /new-blog-58.html,200,OK,View Blog 3-1,text,true,,12845,5,8,2627,0
1507484265342,3025,3 /admin/post/,200,OK,Add Blog 1-1,text,true,,7031,1,8,19,0
1507484266352,2070,6 /admin/,200,OK,Edit Blog 2-2,text,true,,7031,2,8,747,0
1507484265342,3243,8 /admin/post/,200,OK,Edit Blog 2-1,text,true,,7031,2,9,22,0
1507484267970,1506,14 /,200,OK,View Blog 3-1,text,true,,12037,6,9,1506,0
1507484268529,1036,11 /accounts/login,200,OK,View Blog 3-6,text,true,,6562,6,9,1036,0
1507484268367,1438,4 /admin/post/new/,200,OK,Add Blog 1-1,text,true,,7281,1,9,229,0
1507484267115,2978,12 /accounts/login,200,OK,View Blog 3-2,text,true,,12839,7,10,1063,0
1507484267114,3147,12 /accounts/login,200,OK,View Blog 3-3,text,true,,12839,7,10,1007,0
1507484269967,298,11 /accounts/login,200,OK,View Blog 3-7,text,true,,6562,7,10,298,0
1507484269476,1027,11 /accounts/login,200,OK,View Blog 3-1,text,true,,6562,7,10,1027,0
1507484268585,2086,9 /admin/post/edit/,200,OK,Edit Blog 2-1,text,true,,7281,2,10,899,0
1507484267358,3573,12 /accounts/login,200,OK,View Blog 3-4,text,true,,12836,7,10,2303,0
1507484270710,340,10 /admin/post/edit/?id=59caa274476a6763c2b100b9&url=%2Fadmin%2Fpost%2F,400,BAD REQUEST,Edit Blog 2-1,text,false,,245,2,10,340,0
1507484269843,1226,5 /admin/post/new/?url=%2Fadmin%2Fpost%2F,400,BAD REQUEST,Add Blog 1-1,text,false,,245,1,10,1226,0
1507484270094,1289,13 /new-blog-16.html,200,OK,View Blog 3-2,text,true,,12847,7,10,1289,0
1507484270262,1156,13 /new-blog-122.html,200,OK,View Blog 3-3,text,true,,12857,7,10,1156,0
1507484271419,380,14 /,200,OK,View Blog 3-3,text,true,,12037,7,10,380,0
1507484268468,3367,7 /accounts/login,200,OK,Edit Blog 2-2,text,true,,15015,2,10,911,0
1507484267880,3986,12 /accounts/login,200,OK,View Blog 3-5,text,true,,12840,7,10,675,0
1507484271384,1088,14 /,200,OK,View Blog 3-2,text,true,,12037,7,10,1088,0
1507484271070,1505,1 /admin/,200,OK,Add Blog 1-1,text,true,,7031,1,10,316,0
1507484269581,3101,12 /accounts/login,200,OK,View Blog 3-6,text,true,,12839,7,10,394,0
1507484271866,1145,13 /new-blog-46.html,200,OK,View Blog 3-5,text,true,,12843,7,10,1145,0
1507484270932,2308,13 /new-blog-82.html,200,OK,View Blog 3-4,text,true,,12843,7,10,2308,0
1507484270967,2401,12 /accounts/login,200,OK,View Blog 3-7,text,true,,12839,7,10,1039,0
1507484272419,1019,11 /accounts/login,200,OK,View Blog 3-3,text,true,,6562,7,10,1019,0
1507484272472,1033,11 /accounts/login,200,OK,View Blog 3-2,text,true,,6562,7,10,1033,0
