timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1509001254756,37,4149 /,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused (Connection refused),Returning User 1-1,text,false,,2130,1,1,0,0
1509001254801,0,4150 /jsi18n/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused (Connection refused),Returning User 1-1,text,false,,2130,1,1,0,0
1509001254901,1,4151 /cart/summary/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused (Connection refused),Returning User 1-1,text,false,,2130,1,1,0,0
1509001255000,1,4152 /account/login/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused (Connection refused),Returning User 1-1,text,false,,2130,1,1,0,0
1509001255101,1,4154 /jsi18n/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused (Connection refused),Returning User 1-1,text,false,,2130,1,1,0,0
1509001255201,0,4155 /cart/summary/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused (Connection refused),Returning User 1-1,text,false,,2130,1,1,0,0
1509001255301,6,4156 /account/login/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused (Connection refused),Returning User 1-1,text,false,,2130,1,1,0,0
1509001255401,0,4157 /,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused (Connection refused),Returning User 1-1,text,false,,2130,1,1,0,0
1509001255500,5993,4159 /jsi18n/,200,OK,Returning User 1-1,text,true,,3371,7,7,5993,0
1509001261495,1130,4167 /cart/summary/,200,OK,Returning User 1-1,text,true,,520,8,8,1130,0
1509001257670,5021,4149 /,200,OK,Returning User 1-4,text,true,,32370,8,8,4773,0
1509001259691,3000,4149 /,200,OK,Returning User 1-6,text,true,,32370,8,8,2999,0
1509001262691,7,4150 /jsi18n/,200,OK,Returning User 1-6,text,true,,3371,8,8,7,0
1509001255661,7042,4149 /,200,OK,Returning User 1-2,text,true,,32370,8,8,6783,0
