Time, W_CPU, W_MEM, D_CPU, D_MEM
0,0.0,783486976.0,0.0,46329856.0
1,171.1,959455232.0,0.1,102039552.0
2,218.3,1067110400.0,2.5,102944768.0
3,155.1,1094758400.0,3.8,104116224.0
4,144.9,1155670016.0,4.5,104173568.0
5,84.4,1211092992.0,2.4,106151936.0
6,92.0,1266769920.0,2.1,106741760.0
7,120.2,1402200064.0,2.1,108085248.0
8,92.7,1422675968.0,4.0,108085248.0
9,82.4,1425317888.0,4.0,108085248.0
10,49.9,1427320832.0,2.0,108924928.0
11,61.2,1435463680.0,2.0,108924928.0
12,101.2,1592004608.0,2.3,108924928.0
13,57.0,1595154432.0,3.8,108924928.0
14,66.1,1599197184.0,3.9,108924928.0
15,49.6,1600167936.0,2.4,110288896.0
16,52.3,1602027520.0,1.7,110288896.0
17,88.8,1708666880.0,1.9,110669824.0
18,43.7,1710628864.0,3.7,110669824.0
19,79.8,1716568064.0,4.2,111202304.0
20,39.5,1719115776.0,2.1,112156672.0
21,39.2,1721061376.0,1.8,112156672.0
22,62.3,1767268352.0,2.4,112156672.0
23,44.0,1813839872.0,4.0,112156672.0
24,63.5,1823838208.0,4.0,112713728.0
25,40.8,1830379520.0,2.5,112713728.0
26,45.2,1833693184.0,1.6,113131520.0
27,73.0,1973682176.0,2.5,116178944.0
28,45.3,1996099584.0,4.4,116178944.0
29,57.9,1998102528.0,3.9,116178944.0
30,33.1,1998942208.0,2.4,116178944.0
31,47.7,2000330752.0,1.8,116178944.0
32,52.0,2027896832.0,2.9,116178944.0
33,39.8,2059583488.0,4.0,116178944.0
34,56.6,2104967168.0,3.9,116842496.0
35,29.6,2105008128.0,2.0,116846592.0
36,39.7,2107969536.0,1.9,116846592.0
37,45.3,2122444800.0,2.7,117682176.0
38,43.2,2217889792.0,4.3,117682176.0
39,48.6,2219200512.0,3.6,117682176.0
40,21.9,2219786240.0,2.2,117682176.0
41,37.5,2220892160.0,1.7,118534144.0
42,33.4,2222002176.0,3.0,118534144.0
43,36.5,2228432896.0,4.6,118534144.0
44,41.6,2290040832.0,3.5,122314752.0
45,24.5,2312761344.0,1.8,122642432.0
46,29.0,2313351168.0,1.9,122642432.0
47,36.6,2313965568.0,3.6,122642432.0
48,35.5,2446704640.0,4.3,123494400.0
49,39.7,2453663744.0,3.3,123973632.0
50,18.1,2453688320.0,2.0,123973632.0
51,36.6,2454511616.0,2.1,123973632.0
52,30.6,2455367680.0,3.7,123973632.0
53,32.1,2456489984.0,4.4,124067840.0
54,37.6,2465452032.0,3.0,124067840.0
55,16.8,2465501184.0,1.5,124067840.0
56,39.1,2466893824.0,2.3,125059072.0
57,26.2,2468388864.0,3.7,125407232.0
58,31.8,2538725376.0,4.1,125407232.0
59,25.7,2539266048.0,3.0,125411328.0
60,17.0,2541363200.0,0.4,100429824.0
61,33.9,2544582656.0,0.0,110067712.0
62,22.9,2544930816.0,4.4,110145536.0
63,31.8,2549698560.0,4.0,115294208.0
64,20.2,2550837248.0,2.4,115294208.0
65,16.9,2571141120.0,1.5,115294208.0
66,31.0,2585767936.0,2.4,115294208.0
67,26.4,2584809472.0,4.4,115294208.0
68,32.7,2713079808.0,4.4,115888128.0
69,24.4,2746064896.0,2.3,115888128.0
70,22.7,2755006464.0,1.5,116420608.0
71,28.5,2752679936.0,2.8,116420608.0
72,24.8,2753531904.0,4.6,116420608.0
73,28.6,2754637824.0,4.0,116903936.0
74,21.8,2775203840.0,2.3,117288960.0
75,21.9,2775474176.0,1.6,117288960.0
76,19.2,2776018944.0,2.7,117288960.0
77,29.1,2787086336.0,3.9,117288960.0
78,30.7,2787950592.0,3.8,118792192.0
79,13.5,2790346752.0,1.9,119238656.0
80,23.3,2790641664.0,1.8,119238656.0
81,20.8,2790952960.0,3.0,119238656.0
82,23.3,2791280640.0,4.3,119238656.0
83,33.7,2814271488.0,3.8,119705600.0
84,14.2,2814586880.0,2.1,120205312.0
85,19.3,2815123456.0,1.5,120205312.0
86,25.8,2815709184.0,3.2,120205312.0
87,25.7,2817105920.0,4.2,120205312.0
88,26.6,2817966080.0,3.3,120205312.0
89,14.0,2845331456.0,2.0,120205312.0
90,29.2,2869383168.0,1.7,120205312.0
91,22.5,2880487424.0,3.8,120205312.0
92,29.4,2906996736.0,4.1,120205312.0
93,31.8,2904793088.0,3.1,121528320.0
94,11.8,2904903680.0,1.7,121528320.0
95,19.6,2905358336.0,2.1,121528320.0
96,28.1,2925412352.0,3.5,121528320.0
97,25.4,2925735936.0,4.3,122163200.0
98,21.4,2925752320.0,2.7,122163200.0
99,13.8,2928197632.0,1.8,122163200.0
100,31.0,2972336128.0,2.1,122163200.0
101,17.6,2972364800.0,3.5,122163200.0
102,20.2,2972377088.0,4.2,122163200.0
103,16.6,2982969344.0,2.7,122744832.0
104,17.1,3065221120.0,1.8,122744832.0
105,36.8,3117387776.0,2.8,122744832.0
106,19.9,3118268416.0,4.1,122744832.0
107,25.1,3118821376.0,4.3,122744832.0
108,17.1,3118850048.0,2.5,122744832.0
109,16.2,3119439872.0,1.6,124436480.0
110,32.0,3166593024.0,2.3,124436480.0
111,22.7,3165687808.0,4.1,125284352.0
112,23.3,3165974528.0,3.8,125685760.0
113,15.4,3166285824.0,2.5,125689856.0
114,22.9,3204722688.0,1.6,125689856.0
115,16.9,3200200704.0,2.3,125689856.0
116,20.4,3202572288.0,4.2,125689856.0
117,24.4,3207467008.0,3.7,126181376.0
118,16.1,3207786496.0,2.2,126181376.0
119,20.2,3256770560.0,1.6,126181376.0
120,21.3,3254919168.0,0.2,114192384.0
121,21.8,3281072128.0,4.0,113627136.0
122,23.9,3287842816.0,3.9,115281920.0
123,14.1,3288387584.0,2.3,115929088.0
124,24.1,3319250944.0,1.7,115929088.0
125,27.0,3326013440.0,2.8,115929088.0
126,22.0,3326578688.0,4.2,115929088.0
127,24.1,3327422464.0,3.9,118124544.0
128,11.8,3327725568.0,2.1,118124544.0
129,26.0,3341025280.0,1.7,118124544.0
130,19.2,3342401536.0,2.8,118124544.0
131,22.3,3347501056.0,5.1,118923264.0
132,26.4,3387801600.0,3.5,118923264.0
133,14.1,3388620800.0,2.1,118923264.0
134,25.9,3389489152.0,1.7,119308288.0
135,18.9,3389550592.0,2.9,119308288.0
136,20.4,3389898752.0,4.5,119742464.0
137,23.6,3390271488.0,3.0,121327616.0
138,13.4,3402387456.0,1.7,121327616.0
139,24.5,3447803904.0,1.7,121327616.0
140,18.2,3447803904.0,3.6,121327616.0
141,19.1,3455373312.0,4.2,121327616.0
142,21.6,3475591168.0,3.4,121327616.0
143,13.8,3475742720.0,1.7,121327616.0
144,30.0,3490717696.0,2.1,121909248.0
145,18.5,3490717696.0,3.7,121909248.0
146,19.6,3490717696.0,3.9,121909248.0
147,16.4,3490717696.0,2.8,121909248.0
148,12.9,3490717696.0,1.6,122798080.0
149,26.1,3494768640.0,2.2,122798080.0
150,19.1,3494768640.0,4.2,122798080.0
151,18.2,3494768640.0,3.9,122798080.0
152,16.4,3513151488.0,2.7,122798080.0
153,20.6,3528839168.0,2.0,123265024.0
154,17.7,3531784192.0,2.0,123265024.0
155,26.0,3576664064.0,3.8,123265024.0
156,19.1,3576901632.0,3.7,123265024.0
157,11.1,3577159680.0,2.2,123265024.0
158,17.0,3579576320.0,1.5,123265024.0
159,18.9,3584466944.0,2.5,123265024.0
160,19.7,3584724992.0,4.4,123265024.0
161,29.5,3652026368.0,4.1,123265024.0
162,18.0,3660701696.0,2.1,123265024.0
163,19.8,3660959744.0,1.8,124596224.0
164,20.0,3661492224.0,2.5,124596224.0
165,18.1,3661787136.0,4.3,125894656.0
166,19.6,3662049280.0,3.2,126115840.0
167,17.5,3719344128.0,2.0,127336448.0
168,23.5,3720445952.0,2.0,127336448.0
169,17.5,3723071488.0,3.0,127336448.0
170,19.9,3724668928.0,4.2,127336448.0
171,19.4,3727392768.0,4.0,127336448.0
172,12.8,3760361472.0,2.2,127336448.0
173,28.9,3883999232.0,1.6,127700992.0
174,16.3,3895615488.0,2.7,127700992.0
175,19.3,3895906304.0,4.6,127700992.0
176,19.5,3913195520.0,3.2,127700992.0
177,11.7,3913723904.0,1.9,127700992.0
178,19.9,3923193856.0,1.7,127700992.0
179,15.8,3930763264.0,3.1,127700992.0
180,20.2,4040859648.0,0.1,117014528.0
181,27.6,4083326976.0,3.0,117481472.0
182,15.0,4083597312.0,1.6,117481472.0
183,17.7,4081795072.0,1.7,117481472.0
184,17.8,4082094080.0,3.6,117481472.0
185,18.6,4082356224.0,4.2,118448128.0
186,18.0,4082610176.0,3.0,119083008.0
