################  Generation 1  #################
object_num	Max	Avg	Min	Std
0	69359.0	4071.95741935	21.0	5832.7831015
1	61916.0	3828.55993813	38.0	5354.71963427
2	59646.0	3257.06032258	176.0	4619.41123712
3	9999.0	435.329369347	58.0	675.851879141
4	11418.0	402.324601367	53.0	669.376492355
################  Generation 2  #################
object_num	Max	Avg	Min	Std
0	2779.0	1634.56416667	1025.0	292.452590259
1	3153.0	1528.15261194	594.0	291.127759936
2	2511.0	1314.086875	731.0	275.085076527
3	682.0	149.025166667	58.0	56.2951244186
4	750.0	138.38625	53.0	58.0372041103
################  Generation 3  #################
object_num	Max	Avg	Min	Std
0	2482.0	1408.89458333	975.0	213.961854398
1	2191.0	1343.75186567	594.0	220.253249752
2	2172.0	1124.52921875	645.0	193.383733859
3	680.0	121.7021875	54.0	45.7066643049
4	783.0	112.236	49.0	46.0325859655
################  Generation 4  #################
object_num	Max	Avg	Min	Std
0	2482.0	1357.37166667	942.0	220.249429127
1	2330.0	1274.20671642	535.0	206.371415171
2	2240.0	1102.27328125	645.0	197.985283162
3	1408.0	120.114041667	54.0	52.8877103982
4	1206.0	106.0435625	49.0	47.7686084838
################  Generation 5  #################
object_num	Max	Avg	Min	Std
0	2597.0	1303.71625	939.0	230.549152176
1	2330.0	1250.89925373	494.0	216.399772394
2	2735.0	1090.01265625	601.0	218.367412567
3	1408.0	113.430708333	53.0	53.4414866029
4	1206.0	103.184458333	45.0	51.0396248855
################  Generation 6  #################
object_num	Max	Avg	Min	Std
0	2597.0	1261.53	896.0	218.581727507
1	2330.0	1227.91902985	494.0	237.188157746
2	2735.0	1053.46671875	601.0	216.003496395
3	1408.0	109.644770833	53.0	53.5887153831
4	1206.0	99.5185833333	45.0	49.1682590329
################  Generation 7  #################
object_num	Max	Avg	Min	Std
0	2597.0	1248.34125	896.0	235.312424871
1	2330.0	1203.61977612	494.0	250.55812591
2	2735.0	1050.54640625	601.0	244.396333537
3	1408.0	108.720708333	53.0	55.6133953843
4	1206.0	97.2331458333	45.0	51.3071843298
