Time, W_CPU, W_MEM, D_CPU, D_MEM
0,0.0,711495680.0,0.0,79073280.0
1,276.6,935673856.0,0.3,82612224.0
2,294.2,1076723712.0,0.3,68493312.0
3,223.3,1206894592.0,0.3,82284544.0
4,260.5,1318682624.0,0.3,84320256.0
5,280.5,1478410240.0,0.2,56909824.0
6,229.5,1590046720.0,0.4,84168704.0
7,231.4,1710809088.0,0.3,84762624.0
8,238.5,1830453248.0,0.5,86081536.0
9,226.2,1929605120.0,0.5,84344832.0
10,176.5,2053578752.0,0.3,62357504.0
11,158.7,2135478272.0,0.5,62242816.0
12,129.9,2221191168.0,0.5,61681664.0
13,112.9,2236047360.0,0.4,86183936.0
14,112.2,2328788992.0,0.4,75726848.0
15,103.9,2406395904.0,0.5,74338304.0
16,91.3,2434080768.0,0.3,60526592.0
17,89.4,2450874368.0,0.4,74391552.0
18,89.2,2460921856.0,0.5,62480384.0
19,71.7,2485080064.0,0.4,87175168.0
20,77.2,2554376192.0,0.3,62205952.0
21,76.3,2575872000.0,0.5,48619520.0
22,76.0,2591309824.0,0.4,62586880.0
23,69.6,2611097600.0,0.4,48623616.0
24,60.9,2649468928.0,0.3,48623616.0
25,67.3,2661662720.0,0.4,48623616.0
26,66.9,2689552384.0,0.5,48623616.0
27,61.5,2733416448.0,0.3,76292096.0
28,63.9,2777645056.0,0.5,62550016.0
29,64.9,2797350912.0,0.4,62668800.0
30,58.7,2810527744.0,0.4,48623616.0
31,58.7,2827948032.0,0.4,48623616.0
32,47.6,2835505152.0,0.5,48623616.0
33,53.3,2838798336.0,0.3,48623616.0
34,62.3,2870603776.0,0.5,62693376.0
35,56.9,2887909376.0,0.3,62263296.0
36,53.0,2922020864.0,0.6,48623616.0
37,61.7,2933469184.0,0.3,62820352.0
38,58.7,2954395648.0,0.5,48623616.0
39,40.2,2955046912.0,0.6,48623616.0
40,50.5,2992095232.0,0.3,48623616.0
41,47.0,2997374976.0,0.5,48623616.0
42,38.2,2997436416.0,0.4,48623616.0
43,54.8,3030392832.0,0.4,48623616.0
44,50.6,3031330816.0,0.3,62799872.0
45,41.2,3039326208.0,0.5,48623616.0
46,51.7,3050770432.0,0.4,60862464.0
47,48.5,3051380736.0,0.4,90763264.0
