Time, W_CPU, W_MEM, D_CPU, D_MEM
0,0.0,723140608.0,0.0,78966784.0
1,277.1,944816128.0,0.2,79327232.0
2,272.1,1075924992.0,0.1,70524928.0
3,267.8,1208115200.0,0.4,82079744.0
4,285.3,1374453760.0,0.3,80990208.0
5,255.6,1497276416.0,0.2,83263488.0
6,230.0,1638432768.0,0.3,71208960.0
7,240.1,1732407296.0,0.5,57614336.0
8,236.0,1849991168.0,0.2,71270400.0
9,166.0,1927118848.0,0.4,45547520.0
10,154.5,2008514560.0,0.5,45547520.0
11,123.5,2087137280.0,0.6,45547520.0
12,123.8,2160635904.0,0.3,45547520.0
13,99.4,2177122304.0,0.5,69672960.0
14,90.2,2272022528.0,0.5,45547520.0
15,91.3,2307133440.0,0.3,45547520.0
16,90.1,2342318080.0,0.4,45547520.0
17,73.7,2363445248.0,0.4,45547520.0
18,86.0,2380349440.0,0.4,45547520.0
19,78.7,2420932608.0,0.4,57610240.0
20,63.1,2426785792.0,0.4,45547520.0
21,73.2,2455289856.0,0.3,57610240.0
22,75.9,2479443968.0,0.5,45547520.0
23,67.4,2514464768.0,0.5,45547520.0
24,71.5,2545537024.0,0.3,45547520.0
25,65.7,2551562240.0,0.4,57786368.0
26,59.0,2577764352.0,0.4,58798080.0
27,63.1,2605535232.0,0.3,57794560.0
28,59.4,2650013696.0,0.6,59842560.0
29,50.9,2661355520.0,0.3,45547520.0
30,62.6,2682978304.0,0.5,45547520.0
31,54.1,2710384640.0,0.4,45547520.0
32,48.8,2803249152.0,0.4,45547520.0
33,49.6,2802982912.0,0.4,45547520.0
34,50.0,2806554624.0,0.4,45547520.0
35,45.8,2812633088.0,0.5,59441152.0
36,47.3,2842017792.0,0.4,45547520.0
37,56.2,2848501760.0,0.3,45547520.0
38,40.8,2914119680.0,0.4,59555840.0
39,51.5,2896162816.0,0.5,45547520.0
40,44.6,2899013632.0,0.3,59158528.0
41,48.0,2899214336.0,0.4,45547520.0
42,41.4,2899955712.0,0.5,45547520.0
43,52.1,2917081088.0,0.5,45547520.0
44,48.5,2975694848.0,0.3,59977728.0
45,47.3,2975989760.0,0.3,47779840.0
46,42.1,2983415808.0,0.4,47779840.0
47,32.9,2994266112.0,0.5,62226432.0
48,48.9,3003138048.0,0.3,47779840.0
49,41.4,3006685184.0,0.6,47779840.0
50,38.1,3044618240.0,0.4,60030976.0
51,42.9,3082027008.0,0.3,47779840.0
