Time, W_CPU, W_MEM, D_CPU, D_MEM
0,0.0,626507776.0,0.0,43356160.0
1,209.2,858972160.0,0.3,57077760.0
2,194.0,948375552.0,0.2,43356160.0
3,104.0,1000984576.0,0.2,57098240.0
4,170.5,1123930112.0,0.1,56840192.0
5,199.7,1194643456.0,0.3,59285504.0
6,133.7,1235116032.0,0.3,72032256.0
7,146.4,1299537920.0,0.2,84037632.0
8,149.8,1358647296.0,0.3,85323776.0
9,118.2,1438015488.0,0.1,59052032.0
10,84.0,1483317248.0,0.2,59355136.0
11,76.2,1540599808.0,0.2,59244544.0
12,59.6,1576259584.0,0.3,59305984.0
13,46.8,1568555008.0,0.2,45494272.0
14,104.9,1605464064.0,0.2,72830976.0
15,64.6,1649881088.0,0.2,45494272.0
16,61.3,1673469952.0,0.2,45494272.0
17,54.3,1682714624.0,0.3,59379712.0
18,54.3,1713664000.0,0.1,45494272.0
19,42.9,1731014656.0,0.2,45494272.0
20,59.9,1756758016.0,0.3,57995264.0
21,37.6,1798701056.0,0.3,72900608.0
22,29.9,1806204928.0,0.1,59076608.0
23,54.7,1802108928.0,0.3,59387904.0
24,30.0,1841512448.0,0.1,45494272.0
25,33.6,1854566400.0,0.2,59396096.0
26,30.8,1856364544.0,0.2,45494272.0
27,37.0,1903185920.0,0.2,45494272.0
28,23.9,1909923840.0,0.3,45494272.0
29,42.5,1910837248.0,0.2,59453440.0
30,25.4,1918963712.0,0.1,45494272.0
31,31.8,1920008192.0,0.3,45494272.0
32,36.6,1929170944.0,0.3,58974208.0
33,23.4,1937747968.0,0.3,45494272.0
34,28.6,1939681280.0,0.1,45494272.0
35,37.3,1943379968.0,0.5,57995264.0
36,22.2,1983016960.0,0.1,70496256.0
37,28.7,1989857280.0,0.3,71086080.0
38,28.8,1988882432.0,0.2,45494272.0
39,27.5,2008543232.0,0.2,45494272.0
40,22.3,2023997440.0,0.3,58060800.0
41,33.8,2025824256.0,0.1,45494272.0
42,22.4,2026295296.0,0.2,45494272.0
43,28.9,2032025600.0,0.2,45494272.0
44,25.2,2032541696.0,0.3,45494272.0
45,29.7,2034532352.0,0.2,45494272.0
46,21.0,2046980096.0,0.2,45494272.0
47,28.0,2082959360.0,0.2,45494272.0
48,26.4,2093174784.0,0.2,45494272.0
49,19.8,2093424640.0,0.2,45494272.0
50,30.7,2094096384.0,0.2,45494272.0
51,24.6,2094456832.0,0.2,45494272.0
52,22.1,2094944256.0,0.2,45494272.0
53,29.1,2095341568.0,0.2,45494272.0
54,20.6,2096254976.0,0.2,45494272.0
55,23.2,2117701632.0,0.3,45494272.0
56,25.3,2118443008.0,0.2,58060800.0
57,24.6,2120220672.0,0.1,45494272.0
58,15.4,2125582336.0,0.3,45494272.0
59,39.4,2118094848.0,0.1,45494272.0
60,17.7,2118193152.0,0.2,45494272.0
61,20.3,2133381120.0,0.2,45494272.0
62,27.8,2139889664.0,0.1,59793408.0
63,35.1,2144763904.0,0.3,58060800.0
64,19.7,2143690752.0,0.2,59858944.0
65,26.4,2162208768.0,0.4,48365568.0
66,22.5,2163273728.0,0.2,62730240.0
67,20.4,2163544064.0,0.3,48365568.0
68,24.7,2164846592.0,0.1,48365568.0
69,17.6,2165018624.0,0.3,48365568.0
70,16.0,2166554624.0,0.2,48365568.0
71,29.5,2159247360.0,0.1,62869504.0
72,21.8,2181021696.0,0.3,48365568.0
