Time, W_CPU, W_MEM, D_CPU, D_MEM
0,0.0,548159488.0,0.0,84553728.0
1,37.3,634449920.0,0.0,84553728.0
2,48.5,746078208.0,0.0,124702720.0
3,236.9,888029184.0,0.2,127283200.0
4,204.4,999161856.0,0.2,112214016.0
5,157.7,1092075520.0,0.2,113184768.0
6,218.7,1210806272.0,0.2,112037888.0
7,196.6,1312825344.0,0.3,97861632.0
8,163.2,1371459584.0,0.3,84553728.0
9,171.0,1447165952.0,0.3,84553728.0
10,104.1,1531637760.0,0.1,97861632.0
11,77.6,1540575232.0,0.2,84553728.0
12,154.2,1629159424.0,0.2,84553728.0
13,133.2,1699508224.0,0.1,84553728.0
14,93.7,1705615360.0,0.4,84553728.0
15,88.3,1742364672.0,0.2,84553728.0
16,71.0,1776861184.0,0.2,84553728.0
17,62.1,1802104832.0,0.2,100184064.0
18,69.2,1832062976.0,0.3,100184064.0
19,66.6,1880600576.0,0.2,100184064.0
20,37.2,1883766784.0,0.2,86872064.0
21,64.5,1909583872.0,0.1,86872064.0
22,41.6,1942261760.0,0.2,86872064.0
23,50.2,1937780736.0,0.3,86872064.0
24,42.1,1953447936.0,0.2,86872064.0
25,50.1,1997606912.0,0.2,86872064.0
26,35.0,2013470720.0,0.2,86872064.0
27,39.0,2027065344.0,0.3,100184064.0
28,41.3,2032566272.0,0.1,86872064.0
29,39.2,2085572608.0,0.2,101236736.0
30,34.6,2097422336.0,0.3,86872064.0
31,40.4,2100498432.0,0.2,86872064.0
32,31.8,2102628352.0,0.3,86872064.0
33,45.4,2124427264.0,0.2,86872064.0
34,30.0,2135912448.0,0.2,86872064.0
35,34.3,2138558464.0,0.2,86872064.0
36,37.0,2142248960.0,0.2,86872064.0
37,44.2,2168344576.0,0.2,86872064.0
38,19.3,2168729600.0,0.2,86872064.0
39,33.0,2181160960.0,0.2,100319232.0
40,30.6,2188705792.0,0.1,113762304.0
41,32.5,2179944448.0,0.3,115191808.0
42,28.4,2199719936.0,0.3,100315136.0
43,31.6,2204942336.0,0.2,86876160.0
44,27.2,2195374080.0,0.2,86876160.0
45,31.7,2243846144.0,0.2,86876160.0
46,28.5,2246660096.0,0.1,86876160.0
47,23.1,2246914048.0,0.3,101912576.0
48,39.1,2280484864.0,0.3,86876160.0
49,30.8,2299539456.0,0.2,86876160.0
50,23.3,2300141568.0,0.3,86876160.0
51,33.5,2307907584.0,0.1,86876160.0
52,27.8,2322964480.0,0.3,86876160.0
53,25.0,2338918400.0,0.3,86876160.0
54,24.8,2365612032.0,0.2,86876160.0
55,33.5,2366418944.0,0.1,86876160.0
56,16.2,2368765952.0,0.2,100323328.0
57,37.6,2369232896.0,0.2,101470208.0
58,23.0,2369638400.0,0.3,100323328.0
59,22.3,2382606336.0,0.2,86876160.0
60,29.2,2374356992.0,0.2,86876160.0
61,28.4,2381045760.0,0.3,86876160.0
62,23.4,2383712256.0,0.1,86876160.0
63,26.5,2385862656.0,0.2,86876160.0
64,22.1,2392358912.0,0.3,86876160.0
65,24.4,2393067520.0,0.1,86876160.0
66,22.2,2399662080.0,0.4,86876160.0
67,27.8,2402054144.0,0.2,86876160.0
68,20.8,2402848768.0,0.1,86876160.0
69,27.0,2420985856.0,0.3,86876160.0
70,26.0,2421653504.0,0.3,86876160.0
71,22.8,2421981184.0,0.1,86876160.0
72,20.4,2422239232.0,0.1,86876160.0
73,31.9,2432827392.0,0.3,86876160.0
74,21.0,2436210688.0,0.3,86876160.0
75,25.8,2455670784.0,0.2,86876160.0
76,28.8,2474160128.0,0.1,100184064.0
77,17.5,2485821440.0,0.4,86876160.0
78,21.6,2492608512.0,0.4,86876160.0
79,26.8,2486542336.0,0.1,86876160.0
80,17.0,2491760640.0,0.1,86876160.0
81,26.4,2500558848.0,0.3,101412864.0
82,23.3,2500849664.0,0.3,100184064.0
83,18.7,2503901184.0,0.1,101285888.0
84,22.6,2519027712.0,0.2,86876160.0
85,29.1,2522591232.0,0.2,101904384.0
86,19.5,2523004928.0,0.2,102019072.0
87,21.6,2523455488.0,0.2,86876160.0
88,22.4,2535366656.0,0.2,101986304.0
