timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1519766000030,41,4149 /,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,1,1,0,0
1519766000077,1,4150 /jsi18n/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,1,1,0,0
1519766000178,0,4151 /cart/summary/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,1,1,0,0
1519766000278,0,4152 /account/login/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,1,1,0,0
1519766000378,0,4154 /jsi18n/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,1,1,0,0
1519766000477,1,4155 /cart/summary/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,1,1,0,0
1519766000577,8,4156 /account/login/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,1,1,0,0
1519766000677,1,4157 /,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,1,1,0,0
1519766000778,0,4159 /jsi18n/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,1,1,0,0
1519766000877,1,4167 /cart/summary/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,1,1,0,0
1519766000942,1,4149 /,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-2,text,false,,2109,2,2,0,0
1519766000977,1,4168 /products/category/books-4/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,2,2,0,0
1519766001142,1,4150 /jsi18n/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-2,text,false,,2109,2,2,0,0
1519766001177,1,4169 /jsi18n/,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Returning User 1-1,text,false,,2109,2,2,0,0
1519766001342,6806,4151 /cart/summary/,200,OK,Returning User 1-2,text,true,,520,9,9,6806,0
1519766001377,6771,4171 /cart/summary/,200,OK,Returning User 1-1,text,true,,520,9,9,6771,0
1519766008149,1705,4152 /account/login/,200,OK,Returning User 1-2,text,true,,14838,10,10,1705,0
1519766008149,2100,4173 /graphql/,200,OK,Returning User 1-1,text,true,,14231,10,10,2100,0
1519766010252,602,4194 /products/meyer-ltd-37/,200,OK,Returning User 1-1,text,true,,25903,10,10,602,0
1519766009859,1006,4154 /jsi18n/,200,OK,Returning User 1-2,text,true,,3371,10,10,1006,0
1519766007016,3850,4149 /,200,OK,Returning User 1-8,text,true,,32370,10,10,2311,0
1519766005996,4870,4149 /,200,OK,Returning User 1-7,text,true,,32370,10,10,3197,0
1519766003975,6893,4149 /,200,OK,Returning User 1-5,text,true,,32370,10,10,4865,0
1519766002954,7915,4149 /,200,OK,Returning User 1-4,text,true,,32370,10,10,5733,0
1519766001969,8901,4149 /,200,OK,Returning User 1-3,text,true,,32370,10,10,6561,0
1519766009017,1854,4149 /,200,OK,Returning User 1-10,text,true,,32370,10,10,1427,0
