Fri Feb 23 13:42:46 2018    ../cProfile_results/110100011011101101/cProfile.log

         680865947 function calls (660538449 primitive calls) in 4916.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
37471/32958 1985.117    0.053 2401.978    0.073 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
   131345  728.320    0.006  767.889    0.006 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:677(_pq_execute)
43059/43048  590.813    0.014  589.330    0.014 {method 'poll' of 'select.epoll' objects}
  2791325   67.149    0.000   86.057    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:603(get_instance_value_for_fields)
7522944/7010657   59.006    0.000  148.128    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/encoding.py:58(force_text)
  1973468   53.747    0.000  174.053    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py:748(__init__)
     5948   37.124    0.006   37.171    0.006 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/connection.py:648(_execute_command)
59317508/59317505   32.218    0.000   38.272    0.000 {isinstance}
  2101164   28.732    0.000   45.662    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py:303(do_translate)
33249088/31740620   28.004    0.000   69.972    0.000 {getattr}
 37007441   26.752    0.000   26.926    0.000 {hasattr}
   128069   25.682    0.000   34.400    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:759(_pq_fetch_tuples)
  2438023   23.313    0.000   51.748    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py:210(wrapper)
147647/8521   20.617    0.000  992.908    0.117 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:990(render)
  5160000   20.257    0.000   52.070    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/hashlib.py:191(prf)
  1890908   19.286    0.000   25.600    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:391(create_token)
   575446   19.163    0.000   24.607    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:258(clone)
219773/27525   19.013    0.000  120.606    0.004 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:466(parse)
    25152   18.898    0.001   47.656    0.002 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:423(tokenize)
   990132   17.057    0.000   34.062    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:801(__init__)
   126852   16.515    0.000   26.330    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:475(get_default_columns)
 10350950   16.181    0.000   16.181    0.000 {method 'digest' of 'HASH' objects}
  2041264   15.829    0.000   23.044    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py:514(__new__)
   868538   13.194    0.000   50.854    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:664(__init__)
   128002   12.973    0.000   58.394    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:165(get_select)
   469587   12.935    0.000   34.578    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1374(setup_joins)
   607540   12.635    0.000  208.337    0.000 /home/seasun/jit_test/application/saleor/saleor/discount/models.py:289(modifier_for_product)
   467083   12.428    0.000   21.936    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1419(trim_joins)
   895111   12.198    0.000   28.311    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1261(names_to_path)
      172   11.801    0.069   65.253    0.379 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/hashlib.py:165(pbkdf2_hmac)
 10328977   11.740    0.000   11.740    0.000 {method 'copy' of 'HASH' objects}
   131340   11.223    0.000   16.322    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:912(_combine_cmd_params)
852840/151608    9.984    0.000   25.220    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/json/encoder.py:236(__encode)
   425524    9.553    0.000  122.293    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1101(build_filter)
  7491217    9.286    0.000   11.611    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/base.py:630(_get_pk_val)
   604592    8.077    0.000   17.197    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/base.py:457(__init__)
10167401/10167313    8.074    0.000    8.077    0.000 {issubclass}
  1362374    7.895    0.000   14.924    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/html.py:46(escape)
  5934549    7.735    0.000   10.303    0.000 {method 'decode' of 'str' objects}
1854989/10481    7.673    0.000   15.932    0.002 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/maxminddb/decoder.py:117(decode)
  5946122    7.636    0.000    7.640    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/options.py:596(get_field)
   390198    7.233    0.000    7.706    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:127(__init__)
   479245    7.233    0.000   11.432    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/encoding.py:112(force_bytes)
23457091/22806331    7.189    0.000  272.366    0.000 {len}
   244111    6.922    0.000   13.030    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/extras.py:673(parse)
  1344218    6.774    0.000    7.309    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/__init__.py:342(get_col)
  4694010    6.640    0.000   77.496    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py:14(_curried)
  2259675    6.636    0.000    6.636    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/options.py:649(get_ancestor_link)
