Thu Feb 22 02:43:17 2018    ../cProfile_results/110101011000100111/cProfile.log

         563405820 function calls (546416936 primitive calls) in 5134.885 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
29904/24728 2190.847    0.073 2715.177    0.110 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
   109409  771.452    0.007  797.918    0.007 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:677(_pq_execute)
22499/22490  280.219    0.012  278.641    0.012 {method 'poll' of 'select.epoll' objects}
  1526309   50.935    0.000  220.997    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py:748(__init__)
     5090   49.977    0.010   50.095    0.010 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/connection.py:648(_execute_command)
 30505025   39.480    0.000   39.599    0.000 {hasattr}
6328869/5917204   35.817    0.000  129.061    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/encoding.py:58(force_text)
   109404   34.451    0.000   41.382    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:912(_combine_cmd_params)
26856220/25605634   32.712    0.000   77.480    0.000 {getattr}
49419478/49419475   30.482    0.000   42.661    0.000 {isinstance}
  3772377   29.432    0.000   73.614    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:593(foreign_related_fields)
    57064   29.069    0.001   34.312    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/core/cache/backends/base.py:230(validate_key)
  7544754   27.356    0.000   27.423    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:595(<genexpr>)
  2458514   26.978    0.000   35.449    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/safestring.py:120(mark_safe)
  5798431   26.974    0.000   36.333    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/base.py:630(_get_pk_val)
  1751614   26.241    0.000   50.042    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py:303(do_translate)
  4560000   25.588    0.000   57.998    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/hashlib.py:191(prf)
      152   24.022    0.158   84.412    0.555 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/hashlib.py:165(pbkdf2_hmac)
  2076831   23.919    0.000   77.561    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py:210(wrapper)
  3670951   23.223    0.000  100.275    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py:14(_curried)
  1811854   21.430    0.000  262.968    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py:463(__get__)
  2182087   20.301    0.000   37.250    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:603(get_instance_value_for_fields)
  7135670   19.661    0.000   31.853    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:579(related_fields)
  1763765   16.075    0.000   20.182    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py:29(__init__)
   476727   15.553    0.000   24.307    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:258(clone)
   844515   15.221    0.000   47.819    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:801(__init__)
