function,time,count,avg,time2,count2,avg2,Good_J,Good_NJ,Bad_J,Bad_NJ,Nat_J,Nat_NJ
_execute_command==648==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/connection.py,15.927,4164,0.00382492795389,13.099,3560,0.00367949438202,0,0,0,0,0,4
_pq_execute==677==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,15.010,68452,0.000219277742067,14.013,59114,0.000237050444903,0,0,0,0,0,4
_combine_cmd_params==912==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,11.429,68451,0.000166966150969,11.768,59113,0.000199076345305,0,2,0,1,0,1
__init__==748==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py,8.019,741340,1.08168991286e-05,7.706,644873,1.19496396965e-05,1,0,0,0,1,2
pbkdf2_hmac==165==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/hashlib.py,5.798,107,0.0541869158879,4.915,91,0.054010989011,2,0,0,1,0,1
force_text==58==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/encoding.py,5.625,4613582,1.21922618911e-06,9.404,3967684,2.37014842916e-06,1,0,2,0,1,0
clone==258==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,5.365,285512,1.87908038892e-05,4.983,246152,2.02435893269e-05,1,0,0,0,0,3
_build_row==866==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,5.306,267614,1.98270643539e-05,5.032,231087,2.17753486782e-05,0,2,0,1,0,1
do_translate==303==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py,4.982,1320093,3.77397653044e-06,5.807,1137492,5.10509084899e-06,1,0,1,1,0,1
wrapper==210==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py,4.507,1456723,3.09393069238e-06,5.400,1261662,4.28006867132e-06,1,0,3,0,0,0
