function,time,time2,Good_J,Good_NJ,Bad_J,Bad_NJ,Nat_J,Nat_NJ
_pq_execute==677==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,648.359,771.452,0,1,0,0,0,3
__init__==748==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py,50.768,50.935,1,0,0,0,1,2
_execute_command==648==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/connection.py,37.352,49.977,0,0,0,1,0,3
_combine_cmd_params==912==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,30.328,34.451,0,2,0,1,0,1
do_translate==303==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py,23.196,26.241,1,0,0,0,1,2
force_text==58==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/encoding.py,21.956,35.817,1,0,2,0,1,0
pbkdf2_hmac==165==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/hashlib.py,21.805,24.022,2,0,0,1,0,1
wrapper==210==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py,17.723,23.919,1,0,2,0,1,0
prf==191==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/hashlib.py,16.741,25.588,1,0,0,1,1,1
foreign_related_fields==593==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,16.402,29.432,2,0,2,0,0,0
clone==258==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,16.217,15.553,1,0,0,0,0,3
_curried==14==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py,14.915,23.223,2,0,0,1,0,1
