function,time,count,avg,time2,count2,avg2,Good_J,Good_NJ,Bad_J,Bad_NJ,Nat_J,Nat_NJ
_pq_execute==677==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,648.359,138564,0.00467913022141,771.452,109409,0.00705108354889,0,0,0,0,0,4
__init__==748==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py,50.768,2141781,2.37036373e-05,50.935,1526309,3.33713553415e-05,1,0,0,0,1,2
_execute_command==648==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/connection.py,37.352,6298,0.00593077167355,49.977,5090,0.00981866404715,0,0,0,0,0,4
_combine_cmd_params==912==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,30.328,138559,0.000218881487309,34.451,109404,0.000314897078717,0,2,0,1,0,1
do_translate==303==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py,23.196,2272775,1.02060256735e-05,26.241,1751614,1.49810403434e-05,1,0,1,1,0,1
force_text==58==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/encoding.py,21.956,8024001,2.73629078561e-06,35.817,6328869,5.65930500379e-06,1,0,2,0,1,0
pbkdf2_hmac==165==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/hashlib.py,21.805,198,0.110126262626,24.022,152,0.158039473684,2,0,0,1,0,1
wrapper==210==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py,17.723,2580617,6.86773744418e-06,23.919,2076831,1.15170661455e-05,1,0,3,0,0,0
prf==191==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/hashlib.py,16.741,5940000,2.81835016835e-06,25.588,4560000,5.61140350877e-06,1,0,0,1,1,1
foreign_related_fields==593==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,16.402,5030600,3.26044607005e-06,29.432,3772377,7.80197737395e-06,2,0,1,0,1,0
clone==258==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,16.217,608443,2.66532772996e-05,15.553,476727,3.26245419286e-05,1,0,0,0,0,3
_curried==14==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py,14.915,5072217,2.94052876681e-06,23.223,3670951,6.32615363158e-06,2,0,0,1,0,1
get_instance_value_for_fields==603==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,14.754,3021306,4.8833186708e-06,20.301,2182087,9.30347873389e-06,1,0,2,0,1,0
_get_pk_val==630==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/base.py,14.601,8132475,1.79539439101e-06,26.974,5798431,4.65194808734e-06,1,0,1,0,2,0
_build_row==866==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,14.046,638369,2.20029481381e-05,11.520,489794,2.35200921204e-05,0,2,0,1,0,1
__new__==514==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/decimal.py,13.087,2206808,5.93028482768e-06,14.742,1642844,8.97346309205e-06,1,0,1,1,0,1
__init__==29==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py,11.887,2444677,4.86240104521e-06,16.075,1763765,9.11402596151e-06,2,0,0,1,0,1
mark_safe==120==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/safestring.py,11.810,3051014,3.87084425047e-06,26.978,2458514,1.09732952507e-05,2,0,1,0,1,0
__init__==801==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,11.671,1047246,1.11444684439e-05,15.221,844515,1.80233625217e-05,1,0,0,0,1,2
_pq_fetch_tuples==759==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py,11.621,135113,8.60094883542e-05,9.222,106641,8.64770585422e-05,0,1,0,1,0,2
names_to_path==1261==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,10.819,947970,1.14128084222e-05,10.682,740327,1.44287591834e-05,0,0,1,0,2,1
modifier_for_product==289==/home/seasun/jit_test/application/saleor/saleor/discount/models.py,10.346,661370,1.56432859065e-05,11.045,467540,2.36236471746e-05,1,0,1,0,2,0
__init__==664==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,9.713,918650,1.05731236053e-05,11.396,740870,1.53819158557e-05,1,0,1,0,1,1
get_field==596==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/options.py,9.189,6397588,1.43632256407e-06,11.607,4704808,2.46705072768e-06,0,0,1,0,3,0
__new__==23==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py,8.901,2463025,3.61384882411e-06,13.698,1778343,7.70267603044e-06,2,0,1,0,1,0
related_fields==579==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,8.368,9563696,8.74975532472e-07,19.661,7135670,2.75531239533e-06,2,0,1,0,1,0
smart_split==349==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/text.py,8.365,2100635,3.98212921331e-06,14.971,1694738,8.83381384025e-06,2,0,2,0,0,0
__init__==457==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/base.py,8.338,642500,1.29774319066e-05,9.739,493247,1.97446715337e-05,1,0,1,0,2,0
parse==466==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,8.328,232109,3.58796944539e-05,8.792,187715,4.68369602855e-05,1,0,2,0,1,0
format_html==98==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/html.py,8.113,434174,1.86860567422e-05,9.701,351037,2.76352635192e-05,2,0,1,1,0,0
__get__==463==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py,7.945,2504630,3.17212522408e-06,21.430,1811854,1.18276638184e-05,2,0,1,0,0,1
build_filter==1101==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,7.547,450644,1.67471440871e-05,7.389,351737,2.1007172973e-05,0,0,0,1,1,2
ugettext==474==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/gettext.py,7.534,2272775,3.3148903873e-06,10.889,1751614,6.21655227693e-06,2,0,1,0,0,1
get_foreign_related_value==600==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,7.457,2448042,3.04610786906e-06,9.141,1759317,5.19576631159e-06,2,0,1,0,0,1
_record==100==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphene_django/debug/sql/tracking.py,6.651,138191,4.81290387941e-05,5.624,109109,5.15447854897e-05,1,0,0,1,0,2
trim_joins==1419==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,6.570,494646,1.32822260768e-05,7.110,386468,1.83973834832e-05,1,0,3,0,0,0
escape==46==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/html.py,6.508,1442792,4.51069870085e-06,7.463,1160725,6.42960218829e-06,1,0,1,1,0,1
_get_m2m_attr==1458==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py,6.451,2507229,2.57296002878e-06,9.771,1812117,5.3920359447e-06,1,0,0,1,1,1
acquire==147==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py,6.419,2132173,3.01054370354e-06,10.233,1651333,6.19681190892e-06,2,0,1,0,1,0
__init__==127==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,6.294,412964,1.52410379597e-05,5.473,322879,1.69506223694e-05,1,0,1,0,0,2
validate_key==230==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/core/cache/backends/base.py,6.239,74388,8.38710544712e-05,29.069,57064,0.000509410486471,2,0,1,0,1,0
tokenize==423==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,6.234,26642,0.000233991442084,4.864,21509,0.000226137895765,1,0,1,0,0,2
release==187==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py,6.124,2132173,2.87218720057e-06,9.137,1651333,5.53310567887e-06,2,0,1,0,1,0
extend_nodelist==533==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py,5.575,1792609,3.10999219573e-06,8.456,1446618,5.8453579314e-06,2,0,1,0,0,1
get_ancestor_link==649==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/options.py,5.369,2448042,2.19318132614e-06,3.287,1759317,1.86833867916e-06,2,0,1,0,0,1
__init__==164==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py,5.189,1014895,5.11284418585e-06,5.454,794466,6.86498855835e-06,2,0,0,0,0,2
__instancecheck__==128==<builtin>/2.7/abc.py,5.146,1071815,4.80120169992e-06,4.851,839289,5.77989226595e-06,0,2,0,1,0,1
setup_joins==1374==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py,5.122,497326,1.0299079477e-05,4.217,388590,1.0852054865e-05,0,0,2,0,1,1
__init__==68==/home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphene/types/objecttype.py,5.108,146375,3.48966695132e-05,4.233,115401,3.66807913276e-05,2,0,0,0,2,0
<setcomp>==290==/home/seasun/jit_test/application/saleor/saleor/discount/models.py,4.928,661370,7.45119978227e-06,4.432,467540,9.47940283184e-06,2,0,1,0,1,0
