time,CPU_percent,memory_rss,memory_vms,memory_share,memory_data
0,0.0,84279296,544358400,51470336,164261888
10,1.9,66641920,547516416,33603584,167419904
20,2.0,51863552,548564992,18055168,168468480
30,3.7,82038784,548564992,47771648,168468480
40,3.9,66318336,549613568,31834112,169517056
50,4.1,64864256,549613568,30363648,169517056
60,3.9,66400256,549613568,31567872,169517056
70,3.9,65064960,549613568,30257152,169517056
80,4.0,63737856,549613568,28905472,169517056
90,4.0,66609152,549613568,31678464,169517056
100,4.0,64409600,549613568,29446144,169517056
110,3.9,65343488,549613568,30052352,169517056
120,4.0,63225856,549613568,27885568,169517056
130,4.0,62517248,549613568,27213824,169517056
140,4.0,62111744,549613568,26865664,169517056
150,3.8,61595648,549613568,26353664,169517056
160,4.1,65503232,549613568,30044160,169517056
170,3.9,63713280,550662144,28237824,170565632
180,3.9,63451136,550662144,27860992,170565632
190,3.9,63877120,550662144,28192768,170565632
200,4.1,63627264,550662144,28037120,170565632
210,4.0,80920576,550662144,45166592,170565632
220,4.0,65961984,550662144,30126080,170565632
230,4.0,64061440,550662144,28233728,170565632
240,4.0,65425408,550662144,29614080,170565632
250,4.0,66813952,550662144,30969856,170565632
260,3.9,64790528,550662144,28946432,170565632
270,3.9,67190784,550662144,31297536,170565632
280,4.1,65241088,550662144,29360128,170565632
290,4.1,68317184,550662144,32264192,170565632
300,4.3,62881792,550662144,26935296,170565632
310,4.0,65441792,550662144,29331456,170565632
320,4.2,64122880,550662144,28065792,170565632
330,4.0,76640256,550662144,40468480,170565632
340,4.2,60280832,550662144,24104960,170565632
350,4.0,63655936,550662144,27348992,170565632
360,4.3,62025728,550662144,25751552,170565632
370,4.0,62369792,550662144,26017792,170565632
380,4.4,61857792,550662144,25620480,170565632
390,3.9,63922176,550662144,27656192,170565632
400,4.3,61345792,550662144,25128960,170565632
410,4.2,62054400,550662144,25821184,170565632
420,4.1,63610880,550662144,27406336,170565632
430,4.2,64970752,550662144,28717056,170565632
440,4.2,63135744,550662144,26882048,170565632
450,4.3,81883136,550662144,45637632,170565632
460,4.2,65167360,550662144,28848128,170565632
470,4.1,62910464,550662144,26611712,170565632
480,4.4,65019904,550662144,28790784,170565632
490,4.3,66023424,551710720,29548544,171614208
500,4.0,64360448,551710720,27922432,171614208
510,4.6,83083264,551710720,46653440,171614208
520,4.3,70090752,551710720,33292288,171614208
530,4.3,65056768,551710720,28397568,171614208
540,4.4,69021696,551710720,32251904,171614208
550,4.1,67485696,551710720,30814208,171614208
560,4.4,68931584,551710720,32083968,171614208
570,4.4,86224896,551710720,49328128,171614208
580,4.4,71524352,551710720,34422784,171614208
590,4.2,68902912,551710720,31895552,171614208
600,4.6,68825088,551710720,31801344,171614208
610,4.3,65601536,551710720,28598272,171614208
620,4.4,67383296,551710720,30449664,171614208
630,4.3,63033344,551710720,26079232,171614208
640,4.5,66166784,551710720,29110272,171614208
650,4.5,64397312,551710720,27496448,171614208
660,4.6,61820928,551710720,24719360,171614208
670,4.3,64929792,551710720,27729920,171614208
680,4.5,62062592,551710720,24903680,171614208
690,4.4,82694144,551710720,45416448,171614208
700,4.5,67108864,551710720,29839360,171614208
710,4.4,68452352,551710720,31223808,171614208
720,4.6,68763648,551710720,31510528,171614208
730,4.4,64757760,551710720,27525120,171614208
740,4.5,68464640,551710720,31170560,171614208
750,4.6,64573440,551710720,27480064,171614208
760,4.6,67141632,551710720,29925376,171614208
770,4.4,65626112,551710720,28528640,171614208
780,4.7,67690496,551710720,30461952,171614208
790,4.5,65863680,551710720,28508160,171614208
800,4.6,69050368,551710720,31600640,171614208
810,4.6,67031040,551710720,29700096,171614208
820,4.5,64552960,551710720,27312128,171614208
830,4.6,68820992,551710720,31326208,171614208
840,4.7,65937408,551710720,28499968,171614208
850,4.8,67178496,551710720,29519872,171614208
860,4.6,68820992,551710720,31240192,171614208
870,4.7,69992448,551710720,32432128,171614208
880,4.7,67620864,551710720,30162944,171614208
890,4.5,66084864,551710720,28499968,171614208
900,4.7,70590464,551710720,33017856,171614208
910,4.7,69427200,552759296,31739904,172662784
920,4.7,70135808,552759296,32481280,172662784
930,4.7,68022272,552759296,30257152,172662784
940,4.6,70975488,552759296,33157120,172662784
950,4.9,71274496,552759296,33542144,172662784
960,4.8,72650752,552759296,34738176,172662784
970,4.7,72368128,552759296,34451456,172662784
980,4.9,71217152,552759296,33234944,172662784
990,4.8,69001216,552759296,30855168,172662784
1000,5.1,66269184,552759296,28229632,172662784
1010,4.7,64778240,552759296,26669056,172662784
1020,5.0,64049152,552759296,25956352,172662784
1030,4.8,67117056,552759296,28971008,172662784
1040,5.1,70750208,552759296,32587776,172662784
1050,4.8,68509696,552759296,30425088,172662784
1060,4.9,67198976,552759296,29040640,172662784
1070,4.9,63832064,552759296,25796608,172662784
1080,5.0,68268032,552759296,30261248,172662784
1090,5.0,69726208,552759296,31641600,172662784
1101,4.9,68317184,552759296,30216192,172662784
1111,5.0,71688192,552759296,33533952,172662784
1121,5.0,71237632,552759296,33120256,172662784
1131,5.1,67510272,552759296,29483008,172662784
1141,5.1,68161536,552759296,29990912,172662784
1151,4.9,66994176,552759296,28839936,172662784
1161,4.9,70316032,552759296,32165888,172662784
1171,5.0,85475328,552759296,47259648,172662784
1181,5.0,67981312,552759296,29794304,172662784
1191,5.2,71344128,552759296,33185792,172662784
1201,5.1,66924544,552759296,28823552,172662784
1211,5.0,68370432,552759296,30150656,172662784
1221,5.1,67268608,552759296,29040640,172662784
1231,5.2,70782976,552759296,32555008,172662784
1241,5.0,73564160,552759296,35311616,172662784
1251,5.1,71532544,552759296,33243136,172662784
1261,5.1,70709248,552759296,32464896,172662784
1271,5.1,71913472,552759296,33624064,172662784
1281,5.1,71761920,552759296,33538048,172662784
1291,5.0,87449600,552759296,49188864,172662784
1301,5.1,72060928,552759296,33718272,172662784
1311,5.1,74883072,552759296,36552704,172662784
1321,5.1,71217152,552759296,33017856,172662784
1331,5.4,69259264,552759296,31043584,172662784
1341,5.1,70610944,552759296,32288768,172662784
1351,5.3,65945600,552759296,27656192,172662784
1361,5.1,69746688,552759296,31481856,172662784
1371,5.4,68366336,552759296,30097408,172662784
1381,5.1,69427200,552759296,31096832,172662784
1391,5.2,69320704,552759296,31096832,172662784
1401,5.2,67338240,552759296,28917760,172662784
1411,5.2,62324736,552759296,23957504,172662784
1421,5.2,68157440,552759296,29757440,172662784
1431,5.6,70258688,552759296,31838208,172662784
1441,5.2,67768320,552759296,29364224,172662784
1451,5.2,69705728,552759296,31289344,172662784
1461,5.2,70631424,552759296,32145408,172662784
1471,5.4,69726208,552759296,31326208,172662784
1481,5.3,70295552,552759296,31817728,172662784
1491,5.3,73596928,552759296,35188736,172662784
1501,5.4,70713344,552759296,32264192,172662784
1511,5.3,69091328,552759296,30691328,172662784
1521,5.2,68694016,552759296,30167040,172662784
1531,5.5,67731456,552759296,29339648,172662784
1541,5.3,64548864,552759296,26140672,172662784
1551,5.6,70144000,552759296,31682560,172662784
1561,5.4,70463488,552759296,31920128,172662784
1571,5.4,69328896,552759296,30887936,172662784
1581,5.4,69214208,552759296,30707712,172662784
1591,5.4,70541312,552759296,31989760,172662784
1601,5.4,71536640,552759296,32923648,172662784
1611,5.5,69328896,552759296,30752768,172662784
1621,5.5,70922240,552759296,32387072,172662784
1631,5.4,67260416,552759296,28721152,172662784
1641,5.4,72372224,552759296,33775616,172662784
1651,5.6,69140480,553807872,30482432,173711360
1661,5.6,66281472,553807872,27660288,173711360
1671,5.6,66297856,553807872,27553792,173711360
1681,5.6,67555328,553807872,28897280,173711360
1691,5.5,67375104,553807872,28680192,173711360
1701,5.6,67510272,553807872,28786688,173711360
1711,5.3,71872512,553807872,33099776,173711360
1721,5.4,65929216,553807872,27013120,173711360
1731,5.7,69160960,553807872,30142464,173711360
1741,5.6,65671168,553807872,26603520,173711360
1751,5.7,65974272,553807872,26918912,173711360
1761,5.7,67387392,553807872,28151808,173711360
1771,5.7,69046272,553807872,29839360,173711360
1781,5.9,70172672,553807872,30965760,173711360
1791,5.6,69713920,553807872,30457856,173711360
1801,5.6,71077888,553807872,31875072,173711360
1811,5.7,68186112,553807872,29052928,173711360
1821,5.6,65798144,553807872,26546176,173711360
1831,5.7,71233536,553807872,31944704,173711360
1841,5.7,67166208,553807872,27877376,173711360
1851,5.6,69033984,553807872,29855744,173711360
1861,5.9,71757824,553807872,32481280,173711360
1871,5.7,71364608,553807872,32014336,173711360
1881,5.8,68419584,553807872,28860416,173711360
1891,5.8,68141056,553807872,28549120,173711360
1901,5.8,68820992,553807872,29237248,173711360
1911,5.8,68247552,553807872,28635136,173711360
1921,5.9,69062656,554856448,29437952,174759936
1931,5.9,68210688,554856448,28262400,174759936
1941,5.8,69111808,554856448,28909568,174759936
1951,6.1,65822720,554856448,25645056,174759936
1961,5.7,68448256,554856448,28164096,174759936
1971,6.0,64413696,554856448,24137728,174759936
1981,6.0,61362176,554856448,21123072,174759936
1991,6.0,65228800,554856448,24969216,174759936
2001,6.0,64704512,554856448,24428544,174759936
2011,6.1,66985984,554856448,26841088,174759936
2021,6.0,63385600,554856448,23326720,174759936
2031,6.1,68280320,554856448,28004352,174759936
2041,5.9,66568192,554856448,26398720,174759936
2051,6.0,69627904,554856448,29388800,174759936
2061,6.0,64729088,554856448,24489984,174759936
2071,6.1,65560576,554856448,25325568,174759936
2081,5.9,66985984,554856448,26808320,174759936
2091,6.1,68317184,554856448,27996160,174759936
2101,6.0,68927488,554856448,28672000,174759936
2111,6.1,68734976,554856448,28487680,174759936
2121,6.2,65400832,554856448,25219072,174759936
2131,6.3,64954368,554856448,24694784,174759936
2141,6.0,68349952,554856448,28135424,174759936
2151,6.3,70074368,554856448,29790208,174759936
2161,6.1,69201920,554856448,28934144,174759936
2171,6.2,70258688,554856448,30023680,174759936
2181,6.1,70938624,554856448,30777344,174759936
2191,5.9,69095424,554856448,28823552,174759936
2201,6.1,70610944,554856448,30384128,174759936
2211,6.3,74399744,554856448,34181120,174759936
2221,6.0,70733824,554856448,30429184,174759936
2231,6.2,71147520,554856448,30957568,174759936
