time,CPU_percent,memory_rss,memory_vms,memory_share,memory_data
0,0.0,84029440,177283072,21213184,55693312
10,85.2,189775872,440610816,27512832,300429312
20,91.7,228007936,477880320,28340224,337698816
30,71.6,263200768,517488640,28352512,377307136
40,39.9,267747328,517488640,28348416,377307136
50,44.9,274747392,525832192,28348416,385650688
60,39.3,276086784,525832192,28348416,385650688
70,23.3,277708800,529367040,28348416,389185536
80,30.0,287764480,538927104,28344320,398745600
90,21.6,288067584,539836416,28340224,399654912
100,21.7,288595968,539836416,28340224,399654912
110,30.0,289406976,539836416,28340224,399654912
120,38.1,289923072,541933568,28340224,401752064
130,27.9,289947648,541933568,28340224,401752064
140,32.3,290746368,541933568,28340224,401752064
150,35.0,298696704,549158912,28340224,408977408
160,37.6,302432256,552837120,28340224,412655616
170,43.5,302972928,554934272,28340224,414752768
180,35.3,303509504,554934272,28340224,414752768
190,32.7,316755968,568258560,28340224,428077056
200,33.0,317378560,568836096,28340224,428654592
210,31.2,317681664,568836096,28340224,428654592
220,28.9,318214144,568836096,28340224,428654592
230,28.2,318484480,568836096,28340224,428654592
240,31.0,318754816,570933248,28340224,430751744
250,32.0,323620864,575340544,28340224,435159040
260,32.4,323596288,575340544,28340224,435159040
270,31.2,324136960,575340544,28340224,435159040
280,26.9,324136960,575340544,28340224,435159040
290,33.7,324603904,575340544,28315648,435159040
300,35.2,324603904,575340544,28315648,435159040
310,37.1,327929856,578215936,28266496,438034432
320,36.7,330022912,580792320,28262400,440610816
330,37.1,330022912,580792320,28262400,440610816
340,32.3,330219520,580792320,28262400,440610816
350,22.4,330219520,580792320,28262400,440610816
360,24.1,332361728,582680576,28254208,442499072
370,32.9,333172736,583659520,28254208,443478016
380,32.3,333172736,583659520,28254208,443478016
390,34.7,333983744,584388608,28254208,444207104
400,23.9,333983744,584388608,28254208,444207104
410,19.1,333930496,584806400,28254208,444624896
420,23.8,335278080,585711616,28254208,445530112
430,34.3,335953920,586788864,28254208,446607360
440,27.5,337571840,587862016,28250112,447680512
450,32.8,338112512,587862016,28250112,447680512
460,32.2,339734528,591708160,28250112,451526656
470,32.4,340004864,591708160,28250112,451526656
480,29.5,340271104,591708160,28246016,451526656
490,38.7,340541440,591900672,28246016,451719168
500,24.2,340811776,591900672,28246016,451719168
510,28.4,341094400,591900672,28246016,451719168
520,44.0,343527424,592564224,28246016,452382720
530,37.9,343580672,592564224,28246016,452382720
540,20.1,343638016,592564224,28246016,452382720
550,33.8,345300992,594124800,28241920,453943296
560,35.2,346140672,594845696,28241920,454664192
570,29.1,346992640,595361792,28241920,455180288
580,29.3,347287552,597458944,28237824,457277440
590,33.4,347881472,597774336,28237824,457592832
600,23.7,347881472,597774336,28237824,457592832
610,33.0,348200960,597774336,28237824,457592832
620,26.2,348213248,597774336,28237824,457592832
630,29.7,348491776,597774336,28237824,457592832
640,27.9,355229696,604680192,28237824,464498688
650,34.8,355377152,604680192,28237824,464498688
660,27.0,355377152,604680192,28237824,464498688
670,29.3,357457920,604680192,28237824,464498688
680,30.3,357457920,604680192,28237824,464498688
690,32.7,357457920,604680192,28237824,464498688
700,28.0,357457920,604680192,28237824,464498688
710,29.6,357457920,604680192,28237824,464498688
720,27.5,357457920,604680192,28237824,464498688
730,33.3,358248448,604680192,28237824,464498688
740,24.3,358248448,604680192,28237824,464498688
750,37.0,358248448,604680192,28237824,464498688
760,33.3,360345600,607825920,28237824,467644416
