################  Generation 1  #################
object_num	Max	Avg	Min	Std
0	838.0	113.723748295	7.0	79.0791861656
1	1573.0	55.6946048178	9.0	67.2939826159
2	3687.0	495.176252319	149.0	300.783274967
3	2337.0	280.922693267	19.0	196.937617101
4	1481.0	144.76625	28.0	115.016426121
5	738.0	124.715	42.0	65.5622289
6	1851.0	356.137026239	71.0	247.343955763
7	3271.0	455.397419892	99.0	320.844745951
8	2526.0	333.304718354	15.0	242.270627629
9	3242.0	615.964433416	42.0	406.31989273
10	1537.0	129.884290714	6.0	110.423583128
11	1112.0	128.608088979	5.0	82.048736998
################  Generation 2  #################
object_num	Max	Avg	Min	Std
0	615.0	61.3571428571	7.0	38.9528539382
1	541.0	36.3131170663	9.0	34.5275689201
2	1586.0	323.655751295	149.0	154.525604098
3	1587.0	160.709918902	9.0	128.37262863
4	1282.0	80.220625	28.0	59.9270656683
5	462.0	84.8466666667	42.0	34.0444291413
6	1074.0	188.628333333	71.0	92.4914601313
7	1264.0	242.575833333	99.0	117.380585061
8	872.0	171.541770574	15.0	81.149173778
9	1870.0	345.283045977	33.0	172.622951042
10	1020.0	69.251070773	4.0	48.474627412
11	497.0	79.9203681473	4.0	37.8693714897
################  Generation 3  #################
object_num	Max	Avg	Min	Std
0	485.0	44.350509287	5.0	29.3165674264
1	530.0	31.3821786225	9.0	32.6473810131
2	1394.0	267.478071087	148.0	125.628161363
3	1587.0	127.595545379	9.0	126.492571967
4	1282.0	62.1208333333	27.0	57.8131002972
5	462.0	71.4175	41.0	27.9668677858
6	853.0	139.280625	71.0	56.3250739719
7	896.0	181.505833333	99.0	68.6729596176
8	768.0	126.577306733	15.0	47.7492111538
9	1870.0	258.120432741	33.0	114.991744199
10	1020.0	52.5416164053	4.0	41.7039870307
11	497.0	64.7315290399	4.0	32.3802115672
