Time, W_CPU, W_MEM, D_CPU, D_MEM
0,0.0,796315648.0,0.0,44064768.0
1,181.9,952238080.0,0.1,95576064.0
2,182.0,1120669696.0,1.9,98611200.0
3,144.7,1142665216.0,2.0,99016704.0
4,184.0,1226977280.0,5.5,99016704.0
5,92.4,1287131136.0,3.6,101711872.0
6,63.0,1312903168.0,2.4,102604800.0
7,51.2,1351573504.0,1.4,103280640.0
8,71.0,1446518784.0,2.6,103718912.0
9,76.8,1468899328.0,4.1,104009728.0
10,73.1,1480822784.0,3.0,106131456.0
11,33.7,1488044032.0,2.1,106131456.0
12,34.7,1500336128.0,1.5,106131456.0
13,46.6,1578291200.0,2.4,108314624.0
14,54.6,1622376448.0,4.4,108650496.0
15,51.0,1628282880.0,2.9,109436928.0
16,22.4,1657978880.0,1.9,110006272.0
17,36.6,1659387904.0,1.6,110006272.0
18,36.5,1691586560.0,3.0,110006272.0
19,37.2,1740759040.0,3.9,110006272.0
20,47.4,1761353728.0,3.0,110653440.0
21,16.9,1778417664.0,1.8,111214592.0
22,36.4,1798721536.0,2.1,111214592.0
23,31.9,1807654912.0,3.8,111214592.0
24,35.9,1882664960.0,4.2,111214592.0
25,38.3,1881718784.0,3.1,111214592.0
26,15.2,1881989120.0,1.7,111214592.0
27,31.2,1883869184.0,2.4,111214592.0
28,27.4,1898168320.0,4.0,111214592.0
29,33.5,1985507328.0,4.2,113569792.0
30,42.9,2020929536.0,2.9,114900992.0
31,14.8,2021273600.0,1.5,114900992.0
32,32.5,2023075840.0,2.4,114900992.0
33,27.2,2047934464.0,3.9,115666944.0
34,28.4,2048204800.0,4.2,115666944.0
35,24.6,2088792064.0,2.8,115666944.0
36,17.6,2089082880.0,1.5,115666944.0
37,26.1,2089414656.0,2.1,115666944.0
38,24.7,2114879488.0,4.0,115666944.0
39,26.2,2140602368.0,3.9,116375552.0
40,19.9,2142220288.0,2.8,116379648.0
41,26.9,2159325184.0,1.6,116379648.0
42,22.5,2161754112.0,2.3,116379648.0
43,30.5,2162376704.0,4.2,116379648.0
44,34.8,2161029120.0,4.7,117661696.0
45,15.7,2174550016.0,2.1,120639488.0
46,24.5,2174541824.0,1.6,120639488.0
47,25.0,2175696896.0,1.9,120639488.0
48,23.4,2177134592.0,4.5,120639488.0
49,27.8,2269392896.0,3.7,121888768.0
50,18.0,2277249024.0,2.1,121888768.0
51,19.0,2277318656.0,1.7,122753024.0
52,25.8,2278952960.0,2.4,122753024.0
