Time, W_CPU, W_MEM, D_CPU, D_MEM
0,0.0,772812800.0,0.0,82243584.0
1,164.7,849661952.0,0.4,67534848.0
2,143.5,870645760.0,0.4,42864640.0
3,129.4,914821120.0,0.5,42864640.0
4,133.4,914984960.0,0.4,56291328.0
5,109.7,955613184.0,0.4,42864640.0
6,112.2,949858304.0,0.4,42864640.0
7,118.3,996450304.0,0.4,54427648.0
8,102.2,971751424.0,0.3,54427648.0
9,94.7,998440960.0,0.5,54427648.0
10,106.1,1046851584.0,0.4,56369152.0
11,84.2,1055084544.0,0.5,56147968.0
12,94.6,1058082816.0,0.3,42864640.0
13,90.3,1073618944.0,0.5,42864640.0
14,92.9,1070551040.0,0.4,42864640.0
15,79.3,1069604864.0,0.3,42864640.0
16,92.1,1082830848.0,0.5,42864640.0
17,76.7,1077411840.0,0.5,42864640.0
18,76.8,1085407232.0,0.3,42864640.0
19,84.9,1125236736.0,0.5,42864640.0
20,75.6,1116741632.0,0.4,42864640.0
21,74.9,1133170688.0,0.5,42864640.0
22,79.3,1148325888.0,0.3,42864640.0
23,71.5,1157742592.0,0.5,45195264.0
24,71.7,1160220672.0,0.4,57016320.0
25,75.8,1182474240.0,0.4,45195264.0
26,73.5,1181229056.0,0.5,45195264.0
27,68.1,1182203904.0,0.4,58884096.0
28,81.7,1184223232.0,0.5,45195264.0
29,66.6,1188872192.0,0.3,45195264.0
30,73.6,1192341504.0,0.4,45195264.0
31,68.4,1181347840.0,0.4,45195264.0
32,72.0,1201557504.0,0.4,57024512.0
33,64.0,1201647616.0,0.5,68849664.0
34,75.1,1205194752.0,0.4,70520832.0
35,65.4,1203273728.0,0.3,70258688.0
36,67.7,1205309440.0,0.5,86282240.0
37,69.5,1209606144.0,0.3,59363328.0
38,64.2,1209933824.0,0.4,57024512.0
39,63.9,1210257408.0,0.5,59727872.0
40,68.8,1212559360.0,0.4,45199360.0
41,61.5,1213313024.0,0.4,45199360.0
42,64.2,1213698048.0,0.4,53440512.0
43,63.0,1216131072.0,0.4,45199360.0
44,64.3,1216552960.0,0.4,45199360.0
45,61.6,1216724992.0,0.4,73334784.0
46,65.5,1231544320.0,0.5,59203584.0
47,57.7,1215229952.0,0.3,73261056.0
48,65.5,1218281472.0,0.5,45199360.0
49,64.2,1227587584.0,0.4,72572928.0
50,58.4,1234874368.0,0.4,45199360.0
51,58.6,1225916416.0,0.5,59305984.0
52,61.5,1231015936.0,0.3,45199360.0
53,60.4,1234616320.0,0.5,61480960.0
54,57.6,1234874368.0,0.6,59494400.0
55,66.1,1260326912.0,0.3,87552000.0
